key,source,target
/724F7E4648E0E94279F7DDA18107928C,スタンダードファッション,
/236C422449CC96B3BB3044BE1765B44A,"1回
引き換える",
/6DF3266B4A7A1204D737DF8B8B2C5E7E,×1,
/862667D7471E198763501093D871E43E,1回,
/B9A9A93647220D08462B619B8E8EAA59,2020/02/20  07:00,
/705D78B7444EF3DC753FFDA268C44815,～2020/12/20  26:00,
/1E341CAB41B8D47E2C6748B7153C5A47,道具一览,
/4497FEE94B21D479D98B68A7455B9C15,获得的配件可以在玩家形象定制画面进行设置,
/9887C7C04564CB5886ADD2BCBDC5B9B1,アイテム名：３０文字アイテム名：３０文,
/635BD2EC45EA1FF72537FB920C1B10C8,アイテム名：３０文字アイテム名,
/61DBE685479006AD9DECA5839D6A6353,アイテム名：３０文字アイテム名：３０文字アイテム名,
/C46BB61D467355008A67F2BC3F3607DB,アイテム名：３０文字アイテム名：３０文字ア,
/88B6F7CA43CE0EA07B51988C7A395E55,アイテム名：３０文字アイテム名：３０文字アイテム名：３０文字,
/B4379D1B467B2A601A1AA29301E28B0D,×5,
