key,source,target
/E228583E4D26D8FC0616C7878456F622,NUMBER OF SHOP＆CUSTOMIZE TIME EXTEND,
/81032B3443C0A30A4285B58724C66532,9999999,
/6A9EC9814AF8F0FAC11EE5975A7F7E0F,9999999,
/90C40D2142567086082E1CBF8061D5E2,9999999,
/CA621EF34792AA4F3471F2BCE2491E03,NUMBER OF TOTAL FIRST PLAY,
/E5CF9EFF42FC2617BBDE3FA36C4A5F26,  NUMBER OF FIRST TIME FREE,
/62750644484CFD0A66C29AAABB326AF7,NUMBER OF CONTINUES,
/743AAA21413BF4B5955A528F4673F52B,NUMBER OF GUEST PLAY,
/216B5BA24BF239B886310F8064F1ACC4,NUMBER OF Aime PLAY,
/C19BCA6C4EF054F360D066B2D50CB725,PRESS TEST BUTTON TO CONTINUE,
/59ECAA5D411E661EBF95DAB08CAEBD62,9999999,
/9052CF754779545CA1A770A4A18B79CB,9999999,
/51E7FE8C4010FB625391F78BC500326D,NUMBER OF RENAME,
/60272F90480D2243F15DE0A2270BC86B,9999999,
/BA11D80C4AC0C7F5EBB224B40D81B5E9,  NUMBER OF FREE RENAME,
/CE9585C645CE4B2A8289C0B04ABE7460,9999999,
/37F6B07B42D72AF5AD5582B8C20249BC,BOOKKEEPING 2/3,
/CDCBE57745E330050F2A92A7FDD3F844,9999999,
