key,source,target
/4828CA374D1B6A8183464AABE0299EBB,<B_White>獲得報酬</> <EB_YellowLarge>{Num}</><EB_Yellow>/{Max}</>,
/27A22D234C3E55167D1CDC84631C8489,獲得までスタンプ あと<EB_YellowLarge>{Num}</><EB_Yellow>個</>,
/CEE8D12B4385A40A0371E7B0C15A64E1,<B_WhiteSmall>開催期間： {DateText}まで</>,
/0EE49BDB401D6813F99D0ABF8F8527F5,あと30分で閉店時刻です。あと10分でAimeの利用、及びコンティニューができなくなります。,
/2C72AF9A4F188DB55CF127B3F1687D4F,2,
/5A586E044E49E8ED0FBC1BB215BD5AB0,有効期間 : 2021/10/11 7:00～2021/10/31 27:00,
/84550AB34085616657DC74B76E4B677C,メーター　インフィニティ,
/5423EBA9474EAB03A477C3A4C356C434,1,
/663F20BC49CF67EB23D2D1A2D7047A3F,10,
/A7C7369C44C529359F635BB1141903E3,11,
/050B61B24895600B34EE95B4077C4632,12,
/C14B6E4A4DF6513022374B9F25D0C6BE,13,
/F39249514FBC3A3173130A9271A29AEE,14,
/03313C6B425B282E171DB88AC8C8C013,15,
/7EB25528400B900274A42EA509A1FD16,16,
/5582CB4B4FE299FCC1CD69A642603470,17,
/E337808D4058F36AB40BE094286B34AE,18,
/545DB553439361D25BEF849C900F2648,19,
/A9AC8E354DDA704FFBECA69CCE878417,2,
/351C538C4C5E60F58D643385908A77A8,20,
/695B07A741BBFF93826B7A994E9771F9,3,
/87AD11E14CB9B56CB73197A2ADD88515,4,
/E4D84DC7462936B719DAEAB1C721FD8A,5,
/D271DC6A4244FDE0577DB397325205D7,6,
/9B94230343B9BA39C018358AFF3ADB31,7,
/3625CAB24D08E3B753EB88A169545ACA,8,
/BA462546476F8F9E1FCE459A8AF4386E,9,
/350360BD4FA2D176AD68A7ADB83492EF,プレイスタンプ,
/7C81D988473C33A40092BD97712B272A,終了迫る!,
/C8395C6D4CBD2BCA217212ACDFB9BEB2,ループシート,
/E8CA9D6940AECCB90CAC248BF45C0F8D,スキップON,
/9C91953346AA8BB1B047D99A3286A6F1,プレイスタンプ選択,
/285537474E90C9CC051C3CA43BE693ED,R   E   W   A   R   D   L   I   S   T,
/33BAA08A463EBEA792A772B2EE48B7BF,99,
/78FB74F749ECCACFC056768EA4EFF6BE,個受け取ります,
/899E5AF74803D8773C2B4EB723E22E86,報酬一覧,
/99740BD44A2AACAEA6288CA438E4C798,リーダーのみチームメニューで付け替えできます,
/EDC546B24217434A506B9B9EEF8B8611,アイテム名,
