key,source,target
/15BFB894447413CE123488BD54038AC0,かすたむ,
/D54F4F354BB6A9B46F065C9C7DC35F1B,JPN,
/DCC175BC400AF198F5EA1F8EE14758E3,1,
/A70CCF4B4214DEBB9AA1F68727BD12DE,おやき,
/00FB80F743EF371D21EAB390E4CEE613,筐体情報（Vキーで消えるよ！）,
/48E1C976492C6D8AE9DD689C68E958B6,/,
/D90F487049719E13BE20A1AF4325A177,Ver.,
/FD05015749133B973C6FB48E9E4A5519,筐体,
/2465F0244A16C395B7790E90FC8B450A,(,
/D5E546C444F32F93CE8B6E86C4C42579,),
/6E9E56A2484496EB72EC12B364C4B5AE,ステータス(Bキーで切り替わるよ！),
/ECF1B8324FCF748DF8313D8EA689CEB6,プレイOK,
/713A21B743B70655F166AC9A96296A63,2.10.00,
