key,source,target
/9117ED8C46DA541AD6C9009252A7834A,0,
/7D26D5D24C8A6EC5816D569361D2B414,1.0,
/0A6CA56D406C9DAFDF7DE7966A28CE0B,0,
/F70EEB6E47B0E3B12C6790A6DB6F6804,0,
/D12DD4294E730A302C6351B6CF17A5FC,text,
/2020608E4BC3076923BCA2A4E92E5D3E,Color Test,
/E0D5B08046714163C3BDC486B9E38D41,PresetColor,
/4E2167E0487380280502239D7BB9C079,Animation Test,
/82FBA80149F4AC7838036CAF52AD2C29,R,
/F94E7D52439D07E7F23D6F9ABA0C13A7,G,
/61D3E451411EF8ABAE9C309DB48E906A,B,
/AA4E4BF64E42000E6FF608983753C9C3,Brightness,
/7BF107D140161063B95A25A1EF81A4D4,SeatNo,
/369648A74E0BDF12909C5BAD7398E584,LED Test,
