key,source,target
/C84D6D2943D37F5823F2DB8E5AA39910,ON,
/60BBFC1A485244A5D69B2CA2EB3A7423,DayTime,
/0C78F56A48CB88876740FCA31AD1E956,F,
/EAC5F1C4484AA61CED6E2B805BE02340,Akinako,
/8E97AC3240CA17502E8A9CA032FE4169,1,
/9FBFD16B4FE2547FE86751919DA7224C,0,
/728CC9BE4717DD7D2223C5897CB8E3C2,1,
/D2F0CD37437A7A4080B66CB001A75D01,SectionTime,
/FE1B9B014350119B7195FDBC15A11411,Story : ,
/073A13E741CAA6FE0F87779C550DBEA5, / ,
/D428DFD94F60B6869C33EDAC9E10582A,話,
/474F35024BFF678F4486A58B85D682AD,rank,
/32CAC52E4C7D429D164B81B55EF039DC,playscore,
/3CE81E6B47AF3E82B72D0E92A85C97A7,Boost : ,
/04844B4B465AA92E5DDE98B53553A5E4,GoalTime,
/E59DACFA4EFEE407066B7B8D8669A8D2,章 / Stage,
/48B80823426DDE0D98C3FB8B9DCF653F,Advantage,
/772E0E894E67465F75A8A8BF33CE78DF,TotalScore,
/97FC778047F44B8FC01F5BA9120AA135,Course : ,
/C74C90604B05ED4880A3DDA4102B91C4,030:00:00,
/B2FC16E04C32DF404AEE31AEFCDF44DF,-100.0m,
/AAD8F13947B61E448D49D68292A85874,R35,
/A307593341492A4F025ED8934DD6376D,1,
/1D6854E9419B835D790BDF962D84F4D1,05,
/E577AECD4A927737BCA6EA8DC10832D2,Player,
/A19E7C294238001F96F461B220175E02,012:00:00,
/05351896489D3E3DC65E3699B0EE2185,003:00:00,
/23CEC14A459ADD327CD1B7955388AF89,5,
/6FFD92EB4840656D69EA2AB6FAD945D2,1,
/7F0255F94C5FFA12EA0A028142BF0613,1st,
/96CAEC3C41DD85DDC3E7B1A9BA58FEFA,1stTime  ,
/E6E94856447F701B40A115A4D85D187C,mizo  ,
/760DBB224B00CB5D70192CBB86779E1F,hit  ,
/C319B16B4604295B729B88BFEA87DEBE,),
/AFA0B887451EF1367FFAAF95410225D2,DriftTime  ,
/481C28B44959CD9A5A116CBA9C5F9D0B,(,
/5E38AB1747E0920F9D2B18BECB301CCE,Best,
/C6B466F74B596F4AED527CB3E6A3490A,1,
/08DFF77A45E480D34128B1AA6BA25C48,Player,
/9347F6A84DB0A4837850AB9B0E702A6A,2000,
