key,source,target
/CE30AA8942C2FE293496CF8EB62CAE3E,3,
/EF452B5D48FF9A5EE7C76C8A2DF9AF31,あ,
/DB6F3977454B02BEE61B79AFBF68C768,あ,
/1AD2B87A4D654B1641BBD0875BAA704C,あ,
/8F6594DF445CF2733485778BBD7A7017,０,
/E4EBEAEC4C5924AA236ACDBE04E57C65,１,
/20974A594A288AB43D8C09BA9AF0E4C9,２,
/6FA4F2E94F55F9B7FE1C1797D33E409E,３,
/0207227340AD18BDC4FD72ABED87EFB4,４,
/0B082A7945DD772D7E1BDE9F94D82788,５,
/4F88DD2340543758AC3C9E9E28A40EB6,６,
/F3658E0E415479871CFD4FAA49B26D0A,７,
/01007428428D78B711715E94E4D97260,８,
/6B2DB2E44BC97054E0071297A1A6853C,９,
/C64359784D961F85811EF382510BA527,メニューへ戻る,
/F618677442D0DEE7F6A5DF92EDBAE820,発信,
/07F33D7440432D5D64D5ECB8EAA3F776,発信,
/95EFD5C2408E59D444DF939E8F6BA192,1文字消,
