key,source,target
/91C8FD5443661E15245523ACE8A69112,LOADING,
/5836F8CE411BA9EF2ACF89BE1FDCA0CF,VS M.ベッケンバウアー,
/9C4FAD0B48ECE1A12528ACB357DB2121,VS Lv.,
/D79415E54C66304EB56054938046B7B0,99,
/AAAA9E5643650D50ACA645953E758A64,群馬エリア編,
/20C7CDD745988C7CEB20118B1C666842,Chapter1,
/5AC2048C418DC058412CA38A4706FD63,第1話,
/5A56FF9B46ACE96D24551F8C3108CE3A,伝説前夜,
/2B9EEE0A4D5C880AF9200B9F4CFCEA39,難易度１,
/A6A824234D92CFFFBC24B89D6743A6A9,"これは、のちに伝説と呼ばれる走り屋のーー
文字文字文字文字十字文字文字文字文字十字文字文字文字文字十字３４文字
文字文字文字文字十字文字文字文字文字十字文字文字文字文字十字３４文字",
/A20FFCC54C254F74E7F069A1DDB9617F,登場ライバル,
/A6D1D7424E734F6611207A8856D67B86,埼玉北西エリア連合,
/D219A4364D9D5052F7ABDFB87547C698,池谷浩一郎,
/0BC2F3BB4F89263517E28984680C98C6,"9'99""999",
/F838FC5C4E05F226EAFE9590918C3D1D,4WD / 5速,
/31281DAF4C999A46EF76A6BD9627172F,GR YARIS 1st Edition RZ “High performance” (GXPA16),
/94CF87064C030E7A4A6E40B19AE083B4,"9'99""999",
/DF97A61246099C611EBA6BBA6D0471C6,車種自己ベスト,
/6F4DFE664273AC95729CB686C9FE7864,"9'99""999",
/9E9084434843E7CEF1CE78AE68591C84,以上のタイム評価で、熟練度ゲージが上昇します,
/DD8568D54AF3758C585C84B79F86992B,6,
/22BED3BF42DB3D2196E07D91BAB68865,コース熟練度,
/1F335937472CEF4DA06AF79D3E270855,頭文字DAC,
/06C620B0442618C5451E159EB6219346,バトルギフト収集中！,
/D80A2C3F46464960EA18E39C099BB647,鹿児島県,
/BD6B27894D7EED64954534986A9870AC,店舗名２０文字■□■店舗名２０文字■□■,
/6827F95245F941EEDA72BA88453C1366,"別モード
プレイ中",
/DCA1828640EF4F19B987A993A9D38B66,99999,
/31F511BD46B9BAF5843879A428BA1CA8,茂木なつき,
/17B7A5EE4EE47CD179AA9199849F98E9,"1行30文字　文字文字文字文字文字文字文字文字文字文字文字文
文字文字文字文字文字文字文字文字文字文字文字文字文字文字文字",
/0CF383594416DE2A3CF21F9B31009D97,"配置用のパネルです。Hiddenでサイズを取るのに使います。
消さないで下さい。",
