key,source,target
/A985CDB3410AD599E4BB60B3C6E1E745,東京都,
/B9510877442BB1BA7B3C34961E7615F6,ラウンドワンダイバーシティ東京プラザ店,
/35F00F7A40B7A9AD3AA0F89FAA2CC0CA,99999,
/C85E1D584E66B3FD82D8E68490F1F6FF,999,
/7F9DE659479DACE2CF0983A89D015883,/,
/1795CDE441038F0440B4B8BED67B8B32,点,
/0C9197F74FC5596E7C876C9064F1E3A3,名,
/4207F4974D829D6F8244C4AF467A79CF,第,
/4014E62E42A53BF826CC7881B3B3ADDA,999,
/13EA017240C2F4F08182FC95A66DCD5B,/,
/B31891E94C6B628630D038A6247B6E75,点,
/200231EF460CD28FC39386A246C5F09C,名,
/DC5BA51C4BAE5ADF3A78DBA788EA5715,第,
