key,source,target
/0E16A78E44A6C8C9865997A109396839,しばらくお待ち下さい,
/20E149074204DEFD49C408BA5519E35A,プレイヤー全員が　ブーストOFF　にするとゴースト対戦になります,
/ED0E05DA418073629174C3838401D965,東京都,
/2BB38E864382BB5B1B4282835947E065,ラウンドワンダイバーシティ東京プラザ店,
/C985F76149AF4BB158A3F4B28055581A,東京都,
/88F8F3F947C52B5ED71F97BD319EE652,ラウンドワンダイバーシティ東京プラザ店,
/07CEF6744A17FEF98A28F58E4B0F3E1E,アイテム名十文字程度オーバー,
/0EDDAA2C4B78AAFDB28CCA9752991482,で対戦,
/FFDD4BDE466D26B9B84729B5B891CDB8,ゴースト OFF,
/35313E254E9076EE3818909421299867,ゴースト ON,
/0557A44942B1A1198FD23D823087C22B,超上級,
/B2ECFDEE425C46B40D8A66A94AFE0CC2,000,
/C4B4C35C4E64C4F19BDEB79C4F369177,-000,
/F5F4BDCF448DADEA5C48D5A763535F5B,00,
/C7C847824A9AEC3654035783BC895112,000000,
/C3E58BD5496562B1DD2A019F3D14BEC2,000,
/AB25202D44ACB3885C3DE293531D448B,000,
/85F4E3FA4372D2B1789B968B7FBD7872,-000,
/6FF74AAF496261784371119927421043,pts,
/069362804097B24C583C459BB717ED9F,％,
/3DEDAD0A412E63B6D13544B081CE82DC,2位以上,
/2F273BDB4B05F9EFBE5EC493FD67BAE0,で,
/3B22899E4ACC3654F6AB8FB047EA20A4,昇格確定,
/FE25C7ED423B116DBC3F1999A3CAB60E,！,
/563BF98E45BAF54A74108E8FE6FC6740,555,
/1E8034EB47CA23C7A6B15FAEA3182203,TRUENO 2door GT-APEX (AE86)[HC],
/59A15F984993C4B92760E28207D5C6FB,10000,
/B4CC4AD042C8CCD3EB3EB68D44074F33,pts,
/B3BBB9624A79A535ADD5DDA4F7D50196,1,
/982292EB40108D8C49D7D5A5CE7CF84C,位,
