key,source,target
/71D0B0864DA409F4A78D2B92F2FFE7FA,報酬獲得まで<EB_YellowLarge>{Num}</><EB_Yellow>回</>,
/866FBDB7410830F5ECA6CCA70C32DB51,0000,
/E660A4284173C968ADDDF884BF5628F6,战,
/40C9709C453D2E61315F1F8244241D87,000000,
/BA2B1E3B44C567F7C30694B064C93039,点,
/AFF73FDD41477B1CF52EFEBE083A5062,参考在线等级,
/1AD137EA4F439F1B1D1E188DD584D752,  即将结束！,
/A82CF44A4B4363FF30A4588C4A6F528E,オーラカラー　黄色,
/6F5D42234961BBC000628DB38A18266E,開催期間  {DateText}まで,
/3324CE0C4CE83EFF0DE3DEAF698945D9,メーター　インフィニティ あああああああああああああ,
/EDFB40EE4C4B5E207CD633953675574D,0000,
/BC8C63FE47006B973046968D844D377E,胜,
/3F96011948CD17867E8E0C9DC177B939,在线等级,
/0E4C5E44492BB19E94A0B7B82FD8CFF7,回合信息,
/45D7719B4FB3EF392F8E1BA78BB7EF9D,99999,
/0954206A4E008883A8E535B242E03230,+00,
/A06316A545BF0D9CBE4982915766AE1B,0000,
