key,source,target
/C835B3D44CAB61FE0269C7BEBCC66480,PRESS TEST BUTTON TO EXIT,
/B8C7372F48BA663D16BFE781DF96F07A,---,
/EE9691034222C235A7A0649E19B44162,---,
/B8BC10DD4B2130AFA4B86B9312CF2E64,---,
/2CF9715543BEC903674A17B323E2C71B,---,
/2E2C5F8E45D52AC0038792A8F4A7AF26,---,
/1A8EC22D479169F12C76659C82C4C656,RESPONSE TO SERVER(OUT-SHOP) ,
/5426A7104628EA5E1EC54083CAECF2E6,---,
/39BA7CF14DE3E90CBEE8DF9EA4C917D5,MAIN SERVER MACHINE　LINK,
/04FDAB554E872299FECB3FA3A4BF518A,IP ADDRESS,
/7451C358456A0B61DDF38EADEBB67729,GATEWAY,
/A3B0B04842BDFDB900C60F92D188AB23,DNS(LAN),
/DEEDA1724CB6239722177ABEF2CDCF63,HOPS,
/57A12E00439D66ABC259B58E1D313F10,LINE TYPE,
/423BBA7F46641C6F8161A7B36ABF040D,ALL.Net AUTHENTICATION,
/72FFE8AE43168E662832F4AEF885333D,Aime,
/952821D7454614EBA483E1BE13AD95BD,USER DB SERVER,
/9194CCA949F78D3551DF8AB77BAE4718,MATCHING SERVER,
/7B13D21E4C87877C742E7E87C711244E,ROUTER,
/77E7573546CF94CC96C7E9A5E6DC643D,---,
/77E602D540F496275B3489BC82F39EB1,RESPONSE TO ROUTER(IN-SHOP),
/FAEF385043D9BB7600BBAF8C15147BD6,---,
/20DA08D14A6D9512FBD784AC27A16201,---,
/891A252E4A7994BE8B36EF9098A34484,---,
/334BFC2642DDDC3800CFC48086E03B78,---,
/12B57B164F701996FFBE91B73D1581A0,---,
/806644FD4A73888666BCB79C182F3DEA,GROUP LINK,
/25A596314EE0BC6BFECE8080A377107F,STATUS CHECKING.....,
/F70B9DF844F3EEC6408258ACF74FBDCC,Please Wait...,
/59043E7B4ADBFD46AB5FDD8B0C432BDA,NETWORK TEST,
