key,source,target
/1E5138F04A978B081AF229B24E89138F,ルート,
/9575D2094E8B0533E99A888E3DCA16F8,熟練度,
/DCC2BEA4492D4719DC969B8F21972BDA,コース,
/D58A08BD466758352A941BA96D60543C,タイム,
/C766182346DC22D8C8BC33BBB01928B3,タイム評価,
/7018FA1244BC20784CC7BA8A2E216547,記録車種,
/9F1D5A04434922A6A479F2BBE887D5AA,全国順位,
/EEB74891457A8C199B2419B9004ACF12,記録日,
/B737679742A0A2BBF693C7AB3BFBD355,LANCER EVOLUTION IV (CN9A)[HC],
/E5ED767D47AC4275F7B4F6B1A541ABB8,秋名湖,
/3A2B941444E4B5E3E65F26846953589C,右回り,
/42A3866C408BF2E0D9447EA9727D4A71,左回り,
/59D3A50740614FEE3359CDB7336D15B9,10,
/BB48A6C54F187B16D332B993D580DBC7,2021/12/31,
/A250FF004DDEC2C930D493B3A8D90050,2021/12/31,
/47E84858404DD61A1804FB96A815855C,9999位,
/03600D1446E8767FE6F71199FA06F8DF,9'99'999,
