key,source,target
/6567FC32497F262A8889F2A3EE2578AF,Finish the race within <ClearTextRivalName>300</>m of <ClearTextRivalName>秋山渉</>,
/B3F8CD1347A3BC288DD5BAA0156C0053,コース名あああああああ,
/6D838D4B4AF3154DA6FBE5B82AA69D9A,0.0,
/51AD623948C6B0265F82CC94DEAE0579,km,
/F399013C413E70DAB0DC13A53CBE9F81,残り,
/B13DEB5E4C36CE7604D8CB925F7C5883,茂木なつき,
/1C5677AC4EB85B7EA466719160C3446D,"なつきね、いつもは車酔いするんだけど
今日はそれがないもん",
/B24B36724F68066ACA4C608BFBE5C074,負けないぞ！！,
/1E0E312B4C6CB562A9A38D9041B1DE90,追い抜いてやる!,
/A98DCEBE4BC0801F9A7B8E9A1EEC3A49,"-2,800.0m",
/B0F6C4594CB8A774923E80B419C3BDA8,"テキストブロック
テキストブロック2行目",
/A9B20DC047441B93978E97ABEA5E0CEA,LANCER EVOLUTION  IV (CN9A)［HC］,
/89DA88114401E8F973DAC096E9896119,ライバルあああ,
/60FC8E8E4853A2C5DE35DDAB8809B0E0,東京都,
/708563FA469DE4E49E72FA9363B6EA7F,★,
/376760294B72EF31E885669547D887A0,12,
/3DDCA4174C8E3673F6186683DC5F4D84,チーム名最大１５文字,
/650C9C9C4C8684E3740FFFB0BDC6F4A8,"-5,800.0m",
/2E7F9E0C4AF0EB161483D390A5938A68,LANCER EVOLUTION  IV (CN9A)［HC］,
/F9748D334E862174D2C131BB6E462357,プレイヤ６字,
/0203E47E482035778A0C4C9BA6B8C84D,東京都,
/9F1D603B4563BA4FF26CF7958A18FB9B,ユーザープレイ店舗だユーザープレイ店舗だユーザープレ,
/1DAE477140A7651EC70D4EAF860B3D82,SECTION 2,
/4016A97C4186468AF5311B9DB9912987,1,
/E8ED26004CDF9762BB6924BA54AB6E2D,2,
/C140490141B2A07F26150695838D1F39,3,
/3FF916994DAADB42AB4FE5ACD02A8A17,"-'--""---",
/A3983E9A41EC98ED3FB005B042776384,"-0'00""000",
/A736CEC145E6E7E2EBB789A25771F677,+99.9m,
/4CB359EA4AAAB4DE97A475A9199CCD35,"-'--""---",
/3237E8A6467324E6892703A261EF87B0,"0'00""000",
/52930B0545915A45BA8A5A90295B4347,"0'00""000",
/8DD597DE4FF1DBDEDF586F8999B79038,Section Time,
/DBB4231D4AA1C234053F69AAD4B7852C,Total Time,
/E91BA041464C57BEF8E2F886C88BC0B7,/4,
/5195705348942E6DA9B279985C91C278,東京都,
/1FB788074FD28C8481D6E49690DBAA78,ユーザープレイ店舗だユーザープレイ店舗だユーザープレイ店舗だユーザープレイ店舗だ,
/D5BBAC6F4E045B06A3BDD488DEE6AD05,Finish the race within 300m of 秋山渉,
/B6EBAE5A4659A7B6B249C787AE44D5BB,片桐夏向に勝利せよ,
/9D5ABBED43D54886BB0D29BC146871F0,LANCER EVOLUTION  IV (CN9A)［HC］,
/F24E98CA4EACD1AC9E299A9B4FD14236,プレイヤーあ,
/454994CF469F8549C59B94B7431B5600,Ver.EB227AC6155ED7F81D2E314605CA664D,
