key,source,target
/4B000C6D45014128539ED692EF5C3C24,0000,
/AA959D9A40C99C17201913AA1BF964D5,0000,
/7D48C1A9475D82502DC1B0B979020D1A,MAX,
/0A2692844FCBCAE89CF2AC80FE7D2E88,MAX,
/273AA18F4F3B9D9E3998928F316F4FA0,30,
/FCA13328488BF052942D418E7C38F3F6,1000,
/537797114870449CDC1A12AE288C55AB,1000,
/3CEFD81345EFB1CAF647F5AA6B9D5D01,×,
/0ADA07F84553100A68912A88E86EA3D5,/,
/7196A49741CFBFD068A19E8BB8D22A76,0,
/6CF1BB4B4DD75EF7B5DB80B07F255D9E,9,
/9078EC164B7C9AA64256EFBA9D3D48B5,100,
/CAFCC94F43C33488FAFC50BBEFC2F5C1,20000,
/5B3FB192471D4BB3D21CEEB89DDA8151,タイムトライアルミッションタイトルが入ります,
/7D5C33984198942A3E1CCDBAD5599572,START,
/62F0BC904B620CEB039358B67B75BB75,点数,
/85485F074EF82A6F78D6FCB1DACDF048,GOAL,
/D109174C446840C6ECB60A86D67EE76F,2022/8/31まで,
/7D1B8F1F40340422E5157B855CF30F4B,報酬名○○○○○○○○,
/542F33B6468D4C5260A861B7A097AC6A,还有,
/47637F6842840F1CE51925B21AB8998E,点,
/DF49008B4A4E328C5BBD5083F3E68DB6,99999,
