key,source,target
/784DFC4C45D1306DB6333B805CE1E2CB,第,
/2C0EE3EA4D79C1CF1D92FBBF33AEA88D,章,
/2F138ED94C860A30591F65A9FF404AB5,第,
/E06272164B32D59E0A55589EDD1BDE4A,集,
/0C0A20B9405A83987399C8ADBFA9D1D1,1,
/715B7A3244647E997B12498004681F66,難易度2,
/29222DB44EBD71A73F850594B758239A,2,
/DFC78B044C5CA95CD78318BD238AFBB8,群馬エリア,
/EA1864EE4CE37C1C61C61DB545E0DC26,編,
/DB0EB7BE4607A7EA0EC249A058F3DBC9,文太星级,
/BD1C5BD64AA8E92E918DB0B4D716E40B,0'00'000,
/94BBECDC48086E0312BCB49664451B4F,+0000.0m,
/50038D644033E54E38A6C2932ABFA23D,(-0'00''000),
/95CBDB1243214D8CC1A080917EFC6DA4,0'00'000,
