key,source,target
/0FB711FA42063FFB45979F87A520264B,チーム名入力は,
/DA245F104E6855F1538CDA8D575A8C91,ドライバー名入力は,
/1A2D2781484A583EBF2C4D8E93E65623,方向キー,
/B517C4A2409C14F1C79505991758E8C2,と,
/49923B0C452A019089468699E9F34BFC,STARTボタン,
/25F94AE847DE119F0A1897A15542144C,でのみ行えます,
/F229C927435E2B9B9FEDE2840899D6C7,The team name can be entered only with the,
/9F5386934B989591CACCFD947FE844D0,The driver name can be entered only with the,
/3BADE8F147D2C495945A278FD1CAEFF9,arrow keys,
/94C705ED411270F6BC604CB6C60F5535,and,
/0E9D1E9E4B6EE1460E4EBAA3A3706CC1,START button,
/FC4C43614B45A625BBC3139479FC10F1,.,
/F36C963B464323C967BC659DACCEE4D6,"一行全角４４文字ああああああああああああああああああああああああああ
一行全角４４文字ああああああああああああああああああああああああああ
一行全角４４文字ああああああああああああああああああああああああああ",
/FA1D39484BD17E9BE4A960928C6F8680,"一行全角４４文字ああああああああああああああああああああああああああ
一行全角４４文字ああああああああああああああああああああああああああ",
/F09EBE2848E3ADB8D35293A98E911CD0,一行全角４４文字ああああああああああああああああああああああああああ,
/CD5C687B497F00846898DFA3B1C7DDD0,一行全角５４文字ああああああああああああああああああああああああああああああああああああああああああああああ,
