key,source,target
/48AAFCE14A92D41D777E37A225F4333F,→,
/1AD6819D4D24CC23584E08AFA46E0D4E,StoryNo,
/26202A7741B763CA6499989D1BFE8D26,0,
/9BEFA52A4DFBD2493E6C24B99EB5A584,AT/MT,
/5C1552974CE23AC2C562E1B5DD4EFBBB,レース後ドラマ,
/D596CB5D4DC72DFEBEE74C8BF6B7B7D5,BGM,
/28869B1D4AA574CAA12D81BD940C219D,チャプター,
/A600BEF643445CED966E17AE2E1F1A95,スタートカメラ,
/0E45D6BE4BE6D0B0B2403F99275D5BD3,ライバル1,
/EAC740D143C9FE410C333CB18CDE93A1,話数,
/D5907A6F4AB6F7FEF95064B54984D5A2,StoryNo,
/CF067C3542EBD83C8D1999A0274C68DF,車種,
/2ECF6B154D2C4C515E51DB8D9126F824,1,
/57DCE011401ECFDB60D0BC9E3A5733AA,ライバル2,
/A5AEFB26477349C4FA4944A070F9E4E0,1話,
/7A719DA2455A261089EA30B17C81CC39,難易度,
/5C87ECA44313039A2A971D8B0729C473,ストーリータイプ,
/745DB2B34DEDA681E94E269ECBF37D3D,0,
/B2B1E8144FBB652B8FD2F186B9EFA468,ライバル3,
/0B5A012849F1887CD8CA898F893F569B,コース,
/DF71898749A23E8C70043DA19F45E2EB,レース前ドラマ,
/C721268C409D8D8D5FC44F9B65B5CB13,1,
/6718362A42A5CDFE36EE73A29DE40FA2,レース中ドラマ,
/CDC025AF42351C10445D82AEE2444CFB,秋名/下り/昼/晴れ,
/37F9362C454A1A6BB7E946BED5398AF6,テキストブロック,
