key,source,target
/194205C3444CB63D863C039B9CC90F2C,0,
/4907257D422FB1CE2729488680288429,Tune POINT,
/7E5555E94FE50BDF8C65C8A4C4F4FAFA,pts.,
/C996E65B48512E37479158B7DC9026B4,機械式LSD,
/8C7899054E948EB5607996813BE7C875,リビルトシーケンシャルツインタービン,
/05A219A5426AA0A5360139A57C82A91A,"ああああああああああああああああああああああああ
ああああああああああああああああああああああああ",
/128D93924832B0003CEBD2AC0FD1C4DF,チューニングスタイル名,
/589FDD0047B7B01E51B2CB958E572AB8,チューニングスタイル,
/B2A0FAEE4D011D6F8A915E82B480F9ED,選択決定した項目でチューニングします,
/BA568B814FAD783A9CF2889FD7D88A31,Tune Level UP CONGRATULATIONS!!,
