key,source,target
/1FC07AD4441EEE08AD7D74B51A60C538,秋名湖,Akina Lake
/DCE800DF44B4FDA7CF19A0AB214AC01D,妙義,Myogi
/F029BB4542313A7A102878B644B5FBBD,赤城,Akagi
/B8A8671347EFD3F78BCAC0A03A26ED61,秋名,Akina
/3A0829904148E9E570E6429A518302F5,いろは坂,Irohazaka
/37FFE8434D42D7C283F16785A9987AF4,筑波,Tsukuba
/35AEF61648E26F3EF751CD91F44B2180,八方ヶ原,Happogahara
/3A08367A47E50BEE5827C3A3DB7E1C02,長尾,Nagao
/C161A6B844B591DCB9A606B50EBEC059,椿ライン,Tsubaki Line
/68B342A241B2B12C1D5328B3DB6A7CA9,碓氷,Usui
/ADAE9FD54B015AFC23E7248213B3CE4E,定峰,Sadamine
/52C17CC14BD11D92ADC4E1BC4F538967,土坂,Dozaka
/77F6EE214115275EB54637941583EE75,秋名(雪),Akina (Snow)
/B05F963547AAFD8D379F6FB63A61D770,箱根,Hakone
/B2B7F1004683B381D0BC8697B38F4D1C,もみじライン,Momiji Line
/7CD29726458A91A9E9F22AB05FFFEEA4,七曲り,Nanamagari
/C5B6B7794BB6BD9403AE328F7A1D0091,群サイ,Gunsai
/254CF65244A0C424ACE5B194D4BA854C,小田原,Odawara
/48C4102A4795786A7ABBE08AF5F2B6B2,筑波(雪),Tsukuba (Snow)
/72B4307B4F2E31E56CEADD8DA28CAFAD,ヤビツ,Yabitsu
/B3A1018C42992E6F32225DB14D92FC7D,土坂(雪),Dozaka (Snow)
/4426D1314352E5F861AE4CBAAACA8FAA,下り,UH
/B457DB8741343B1B51DEA8BE26D40358,上り,HC
/91C44627471998FA8EBF3FAD660F244E,下り,UH
/288FE2C341A9E1994D90CA8DF3DAF5B9,逆走,Rev
/AA4413474DEC4DA7F47145A9AD9B1BA6,往路,Out
/C629C30D4138BF6ECC134391636C3A4F,復路,In
/F3F54A9348E8CDD5373D38907837010E,左周り,CCW
/A04779494ACF8C26D7591EB6FEAE3955,右周り,CW
/906E9143423DBE8E7B8C1A8A6FAD116D,順走,Fwd
/907C6EF74D286E7113A2B0B7BAB716F9,逆走,Rev
/7E04398B4E594DBFFAFEF7981B460A08,昼,Day
/AAF8DFEF42FFFED48CD4CCACF269E545,夜,Night
/47091DA346C12FFF57AE02A18B934A22,晴れ,Clear
/025B0AFD4013A57198A092B88CBEF80C,晴れ,Clear
/4A1FCB194725474F3442CFB7CB75B231,雨,Rain
/0E371BC5486E4788519E16BC9AD22261,雪,Snow
