key,source,target
DT_InstoreRank/C742EFEE4EF6C5706B34A082CC8D0081,店内ランクがグリーン★になった！,Instore Rank is now Green★!
DT_InstoreRank/6B58EDEB4A63DE4C30FFA584536541FA,店内ランクがグリーン★★になった！,Instore Rank is now Green★★!
DT_InstoreRank/586B58D141573DC704BEF0B0B8E145DC,店内ランクがグリーン★★★になった！,Instore Rank is now Green★★★!
DT_InstoreRank/3FA8E8EC4BF4F490751B0A879EB08301,店内ランクがブルー★になった！,Instore Rank is now Blue★!
DT_InstoreRank/EC6E01584A5505348F193E93EE16F350,店内ランクがブルー★★になった！,Instore Rank is now Blue★★!
DT_InstoreRank/2DFB233C49CFD05792F4EF97CF3163CD,店内ランクがブルー★★★になった！,Instore Rank is now Blue★★★!
DT_InstoreRank/10942F61457E84247B5F0ABE66AC591F,店内ランクがレッド★になった！,Instore Rank is now Red★!
DT_InstoreRank/B488A0674F870BAEE47D4FA931B574C1,店内ランクがレッド★★になった！,Instore Rank is now Red★★!
DT_InstoreRank/EC466AF94AC742F26E04D8974B1FA6A8,店内ランクがレッド★★★になった！,Instore Rank is now Red★★★!
DT_InstoreRank/2485E8A44B3251918BFCB28D84B1D7DC,店内ランクがクリアグリーン★になった！,Instore Rank is now Clear Green★!
DT_InstoreRank/D083142744AA6D49A42632A8295EE299,店内ランクがクリアグリーン★★になった！,Instore Rank is now Clear Green★★!
DT_InstoreRank/328150DF489C8E937711CCA3314CA996,店内ランクがクリアグリーン★★★になった！,Instore Rank is now Clear Green★★★!
DT_InstoreRank/C5870F74438B99CA0CDA2A836AB2504C,店内ランクがクリアグリーン★★★★になった！,Instore Rank is now Clear Green★★★★!
DT_InstoreRank/1BA718BB4E6AC9834D91B48AA58CBA93,店内ランクがクリアグリーン★★★★★になった！,Instore Rank is now Clear Green★★★★★!
DT_InstoreRank/F06F45144AC6B8FEC2BB89938DCE5A77,店内ランクがクリアブルー★になった！,Instore Rank is now Clear Blue★!
DT_InstoreRank/4D74DC8D45BCB34A10B336A1C502362B,店内ランクがクリアブルー★★になった！,Instore Rank is now Clear Blue★★!
DT_InstoreRank/2518E5484C4761F397C7E9B3AD315000,店内ランクがクリアブルー★★★になった！,Instore Rank is now Clear Blue★★★!
DT_InstoreRank/69B30AF04003867C945B9887CB9BFE9D,店内ランクがクリアブルー★★★★になった！,Instore Rank is now Clear Blue★★★★!
DT_InstoreRank/ECCD86D4424F7433D65F0A9E383F903F,店内ランクがクリアブルー★★★★★になった！,Instore Rank is now Clear Blue★★★★★!
DT_InstoreRank/4B1E3A6B4D36425FD1C7248C88DD89AA,店内ランクがクリアレッド★になった！,Instore Rank is now Clear Red★!
DT_InstoreRank/86D7A4D6479F16B4E45BD890CB638A71,店内ランクがクリアレッド★★になった！,Instore Rank is now Clear Red★★!
DT_InstoreRank/7303FDD048112311F46071831C55DC88,店内ランクがクリアレッド★★★になった！,Instore Rank is now Clear Red★★★!
DT_InstoreRank/B588A8D74ED96166E086FDAF412B4C2C,店内ランクがクリアレッド★★★★になった！,Instore Rank is now Clear Red★★★★!
DT_InstoreRank/E5FEEDD14466AA5192E9FDA30FE099E5,店内ランクがクリアレッド★★★★★になった！,Instore Rank is now Clear Red★★★★★!
DT_InstoreRank/0A3475A4436C3081C8F785BE3ED70F5B,店内ランクがエメラルド★になった！,Instore Rank is now Emerald★!
DT_InstoreRank/2BC108314F0D613313AA6B829EB8328F,店内ランクがエメラルド★★になった！,Instore Rank is now Emerald★★!
DT_InstoreRank/FD223B474BEA01A74558139EDDF8278F,店内ランクがエメラルド★★★になった！,Instore Rank is now Emerald★★★!
DT_InstoreRank/6F3B1EEF483CC08BCDFB14AEDE7F5EBE,店内ランクがエメラルド★★★★になった！,Instore Rank is now Emerald★★★★!
DT_InstoreRank/BD08B50544B84DF117EB46A9A4CF8316,店内ランクがエメラルド★★★★★になった！,Instore Rank is now Emerald★★★★★!
DT_InstoreRank/F0D125DF4C39DA399318BAAA3E7258A5,店内ランクがエメラルド★★★★★★になった！,Instore Rank is now Emerald★★★★★★!
DT_InstoreRank/FE6244B24F7EBE1F4A1A0F864320810E,店内ランクがサファイア★になった！,Instore Rank is now Sapphire★!
DT_InstoreRank/CA928DC446A54733F8928DA99A58C8AE,店内ランクがサファイア★★になった！,Instore Rank is now Sapphire★★!
DT_InstoreRank/4DDF27B840DFE9CC0AE533831C27F9F3,店内ランクがサファイア★★★になった！,Instore Rank is now Sapphire★★★!
DT_InstoreRank/B8AB763D43F480C084456AA10135A368,店内ランクがサファイア★★★★になった！,Instore Rank is now Sapphire★★★★!
DT_InstoreRank/B6F4F1B4441BEF451D2C61BBA04D5534,店内ランクがサファイア★★★★★になった！,Instore Rank is now Sapphire★★★★★!
DT_InstoreRank/752E5ABD49ED73229EA03E979F676AAE,店内ランクがサファイア★★★★★★になった！,Instore Rank is now Sapphire★★★★★★!
DT_InstoreRank/40244C7E465D4B8042C26AB0E8FA2F30,店内ランクがサファイア★★★★★★★になった！,Instore Rank is now Sapphire★★★★★★★!
DT_InstoreRank/32D02E844D64C73E7901F594FD90F885,店内ランクがルビー★になった！,Instore Rank is now Ruby★!
DT_InstoreRank/824A50D54C8161B5D5834B9C242368E1,店内ランクがルビー★★になった！,Instore Rank is now Ruby★★!
DT_InstoreRank/96ACD6B84A3A97B3C90EB7850682D44D,店内ランクがルビー★★★になった！,Instore Rank is now Ruby★★★!
DT_InstoreRank/1B30A2874C497509CE83AB8486068E2A,店内ランクがルビー★★★★になった！,Instore Rank is now Ruby★★★★!
