key,source,target
/F20A20C74A3A1E29ADA9B0BB5C7AF46B,ＰＲＩＤＥに参戦した！,Joined PRIDE!
/7ED36B154A87637253E1DA9A660E26C4,ＰＲＩＤＥが１００に到達した！,PRIDE reached 100!
/AA85BB55497053C8BC8EC890718A882A,ＰＲＩＤＥが５００に到達した！,PRIDE reached 500!
/BE961E524B0CF0EA29B928A3D3631C83,ＰＲＩＤＥが１０００に到達した！,PRIDE reached 1000!
/A58A9A8148E65534366DF0BEC8CCF691,ＰＲＩＤＥが５０００に到達した！,PRIDE reached 5000!
/1340712C4FC11240BEAD16B1DA39A837,ＰＲＩＤＥが１００００に到達した！,PRIDE reached 10000!
/2D2109654224C4D50E2F518E632A1A15,ＰＲＩＤＥが５００００に到達した！,PRIDE reached 50000!
/12B4BA054EDA6DEB2C46B1829E9D59C3,ＰＲＩＤＥが２００００に到達した！,PRIDE reached 20000!
/C33F5E0F46884D778752CAB86ECC70AA,ＰＲＩＤＥが３００００に到達した！,PRIDE reached 30000!
/14A59318481772DB937BD9913B6DE24C,ＰＲＩＤＥが４００００に到達した！,PRIDE reached 40000!
/4382FA794E33D7F90CCA72868E6A12AA,ＰＲＩＤＥが６００００に到達した！,PRIDE reached 60000!
/55060E5A46B50FB049E2E1A7422671AB,ＰＲＩＤＥが７００００に到達した！,PRIDE reached 70000!
/05B1F597464A8BCE9B567880B04F5EB8,ＰＲＩＤＥが８００００に到達した！,PRIDE reached 80000!
/C399ABFB45A321B7204302A368C42EFF,ＰＲＩＤＥが９００００に到達した！,PRIDE reached 90000!
