key,source,target
DT_Story_01_Chapter_01_Reward/22A18F584C5498A723129B9BF75D99A1,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/19C72964449DBA785EA703AAD6761526,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/DF69EC224B5C24728D3B29B99A5A32D4,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/EFF791E04AFAFAED7E3D588AC8661635,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/F8E5091146CDD46B90221DB0B333D8E9,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/ED63F8264589A9045A8B49BF359D860F,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/129C410D42B181AF4B1227BA07DB222F,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/2339081940C547531BC29FB451B65CFF,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/58AE837E457BCFFA13C910B61AA0E5EC,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/2D73FA254F769C156FCEB585B3D97EBF,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/62389F4342287CB9D59A739C47B22244,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/2A98536646E9BBD25F4477AE0151E6CA,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/BAB6640A4B69B929F8023A94F2F09BAE,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/05B7A87740CE143CA59AF38B9C387118,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/4C7813A94D478D51ADE844AF4FDF1972,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/42186915463450EBC02693AD5CE42C8A,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/5080B7E1416BB99B9B5AA9B1D4C2F981,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/097AF5974DAF562B718DC4B83B90F99C,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/766C7D5842A0235B3EC0A5A92BBE7D2A,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/4500789E4309BBA5F16813B9BCDA201E,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/9212131045F591EE01D0AC93B7976AFC,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/C420E02F4A9E958348F9BE87FA815649,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/1C24647C496B3169E7C15B875423C0FA,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/815789884B609C78B73F4CA4C6E854E9,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_01_Reward/D929DE1C44963995E639459B551ABAF9,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/EAD4455C4705868DC70D879C9F015DB1,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/DB69E43748E72E5423D30AADC6FBBA9E,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/7868EC524EB9A9B3AB10E28800BAE6A8,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/BAD193644AACA8DD477027A2ED326C37,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/59091E4A4FF4111473AD9B92303F31AF,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/5C2F3DB14CD92FD55D36939671BF9893,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/914D03ED4109A372FE574FA6D226FCA4,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/B2D1B8554FE27D091F7A0CA1435C432C,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/9B5ED43B4C468931D8D8CEA718F2D27F,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/39ED22F04C11B04371ADA89C66CF4CC0,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/211032CE415EC3B689C5B0A3D334B587,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/8798E67D48065B473EF1DA955EF7FA9A,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/3526429F4E07EB6EC8558F9FEE974D17,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/AAB868B44B96EEC5713ADAA99966E992,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/624F176B46961C7245F44ABE8D151416,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/E20CFD56489E1974D63117BA799F697F,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/6DB5D26B467CBB549E73758DC21A1A33,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/94C3A51B487B2A71D004E88A4A20B602,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/BBD76EE24794D04725E392ACB533693A,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/B273981D4C860EF75AE78E9E050071B3,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/B762FDAD4AC85AACBE0BEFA7DCE5D661,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/D548AC2C4297633499B6D7A944BE93E7,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/01A4E9064DFB784F5A07C482CEBB3ECD,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/7AE0322E4842D3D114EE1F916B8BD907,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_02_Reward/B0EB4582496F05DB890850A939617560,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/6E9689F244619108CAF597939CA44E5F,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/5A30D4294C3D773B258ABEA9075E168B,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/89CBEF8C4E92FAA87524369D432F0143,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/6F9AA686489B971A79790EA51F56C802,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/AE0D5DD144F844A5873F19B390397355,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/AD6A87024D3622005E769A94F2C19A4A,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/30F6F1304C11B5C17C2EDCAE8DF687B8,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/5BCEB856439F7E6B4A164F9F029532C9,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/4915B68F499D6720D5FE1B81C3AB26EA,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/1A626B3E468469E1AE106F9FE74A3528,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/25A0FCDE420E6598DCDE4CA11740E1D9,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/D8BCD80C4AA88C6F40DC87A013621D2C,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/A882841D4684AA641571A1BD467E4BFD,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/2AD832DE4ECA54D5FA5CD7ABC15B32FD,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/51FEC8B9431D5BC6791E099B5E7E0B65,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/4136C90D417716034F73C385FC8D382C,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/E997EC5247A19AD0E34090B53C6B60E8,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/603011144EC35BD48EAB33A10953F007,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/58CE24C94936BD1CBE80638C604F3392,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/78A90FD04139CC2A9705CD8C4923B812,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/38B59995480A16E60F6C8AA1B72BCBEA,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/29AE59BA44CE184F44C7B38E6B87C3D2,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/3B31A946454E4D930F27FF9483AF8FF1,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/BBEC11FB424A96B7396ABABCD1E4417A,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_03_Reward/890C999B4936F4B0DBDD33976B271A51,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/C2C00E5C40E331AAE9FFFC8C1F9EFE27,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/1AFE02244498D8D7A7C15990BF2DFBD6,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/3B72393142A66A227E6C1CB8984D54E7,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/890DE1FE49727502D0153C86E3905C0F,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/7180EC4F4DFAD3BD876152BED8E475BC,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/8A3D2B094A48F937B471FAA69A976F1E,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/842E0B6F4D649756A0E2BE9C9CBB3143,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/06A9789E4EAA2363E4F68A84E4AA05E3,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/15C07381447973D012FBC09D30B21020,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/45BA61594F4E7C1F58232CAA4D25261A,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/71ACA28A433E45607E35DBB33DF1C5D5,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/1AA380C941E66D6C5302819E799F4F3C,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/78D8D8A14D7E59800F1DA2956ACDEF18,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/1D262E13400770875A2756AB35F4CDF4,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/D4CB32944940BF5E32B5CF87C7C3136E,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/C403383748A9F50BF17AD495F8B6B1A8,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/A86E09A04DC82C1C1D4E29A33D29DCE1,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/0813FA1E48A633B930F8B38B6C7AE849,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/B43EAC194A8F9E00D3AF8495C6DEC951,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/8EB6F89E40777B29435F6DAD3E87876B,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/F95435E84064D349A03352A72AD289FB,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/5BC18ADD438DC83EFC7E3C82FB20FE58,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/573DCDB74D1D51EE9CE49894FF606173,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/D747AB5E47A394E64822899A59A4BAD2,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_04_Reward/F79A166D418D3EC1E5AF5DB638CC3D2D,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/66B7A0EE4DECA4E3EF4BBD9F19AE2475,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/9DFBE0C548C34819129028B71898DE37,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/243621A244BA82E53984FC9DB35596D3,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/823D3C64495AF9576D2A2D890F50F444,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/B31E23444D0046B20460A78128E33272,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/271A569747C79845E2D814B264FBD9E3,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/A55A3E6845DBFF0D89B1C3BFD001E18B,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/A950867D462450204A363A81AD7A990E,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/AEF89F004AF0CDB9081BADB3AC7C0D6B,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/69EF6B99409240909EC51B9A4B47EF14,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/92060CED47445595E66517A4F5C09725,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/497D6AA14BADC4376B414A9F2EDC2DED,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/B25A3F044B1745C02B3211A38A1A0DD8,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/FD000B3B4F480D341644198750E92A5A,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/D1DB649B4E028CE8B535F8A2815B222C,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/FF0070A94BB0732F1991138D62EF5369,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/4AD6A06C41BFF3E13DADCA9372CAC333,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/C7763A144848E59A08AA209ECF67ACB8,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/1BED40DD40DBD9C946F46E8147D3D553,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/78EC050B4FC735039977448D8135EFC7,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/5EAAC8DA44C61577E49CF993D7F984AC,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/D76E5AC54F486D1AE57866ADBD724626,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/214EFAF24C2B8B0BC996759FD0A53C82,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/76F2C14B4B076E96CDEC59967D0D06FD,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_05_Reward/B8B3D27D46CB74600BCE3FA21A5C64EE,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_06_Reward/5A96F7BB42917F2172BC0B8FBCCAAF0A,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_06_Reward/1D646452464353E3844BB5AAB015D095,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_06_Reward/01C24FD1491BCB6015DB38BDD5D71B19,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_06_Reward/5CF5B70B4BFB56E9DA420B88BCEBCCEE,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_06_Reward/9FB3608747E942EA7C8CA4AB6EC0B3D1,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_06_Reward/80F0CE784064E8CC98C47BB4D4B0F9E5,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_06_Reward/852BEB284CE7F9479C615487BEDEDBD7,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_06_Reward/3C3B41B142DD15B295DB03A64023D13C,ストーリーをクリアした！,Story cleared!
DT_Story_01_Chapter_06_Reward/9AB7A1B545BD7F3C63153098E84F59C0,ストーリーをクリアした！,Story cleared!
