key,source,target,category,id,part
DT_WidgetSetting_Story_01_Episode/1_No_a,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,1,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/1_Sub,伝説前夜,Накануне легенды,DT_WidgetSetting_Story_01_Episode,1,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/2_No_a,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,2,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/2_Sub,峠のセオリー,Теория перевала,DT_WidgetSetting_Story_01_Episode,2,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/3_No_a,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,3,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/3_Sub,秋名スピードスターズ,Скоростные звёзды Акины,DT_WidgetSetting_Story_01_Episode,3,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/4_No_a,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,4,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/4_Sub,仲間にならないか？,Не станешь ли нашим другом?,DT_WidgetSetting_Story_01_Episode,4,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/5_No_a,第５話,Эпизод 5,DT_WidgetSetting_Story_01_Episode,5,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/5_Sub,赤城からの刺客,Киллер с Акаги,DT_WidgetSetting_Story_01_Episode,5,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/6_No_a,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,6,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/6_Sub,邂逅、白い彗星,Встреча — Белая комета,DT_WidgetSetting_Story_01_Episode,6,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/7_No_a,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,7,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/7_Sub,電光石火の余韻,Отзвук молниеносного удара,DT_WidgetSetting_Story_01_Episode,7,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/8_No_a,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,8,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/8_Sub,すれ違う天才,Разошедшиеся гении,DT_WidgetSetting_Story_01_Episode,8,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/9_No_a,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,9,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/9_Sub,不敗神話のR,Неуязвимая мифология R,DT_WidgetSetting_Story_01_Episode,9,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/10_No_a,第５話,Эпизод 5,DT_WidgetSetting_Story_01_Episode,10,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/10_Sub,デンジャラスナイト,Опасная ночь,DT_WidgetSetting_Story_01_Episode,10,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/11_No_a,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,11,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/11_Sub,青い衝撃,Синий шок,DT_WidgetSetting_Story_01_Episode,11,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/12_No_a,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,12,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/12_Sub,彗星に憧れて,Стремление к комете,DT_WidgetSetting_Story_01_Episode,12,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/13_No_a,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,13,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/13_Sub,刺客、再び,"Киллер, снова",DT_WidgetSetting_Story_01_Episode,13,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/14_No_a,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,14,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/14_Sub,高橋兄弟,Братья Такахаси,DT_WidgetSetting_Story_01_Episode,14,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/15_No_a,第５話,Эпизод 5,DT_WidgetSetting_Story_01_Episode,15,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/15_Sub,遅れてきた熱血漢,Поздно пришедший горячий парень,DT_WidgetSetting_Story_01_Episode,15,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/16_No_a,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,16,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/16_Sub,影、迫る,"Тень, приближается",DT_WidgetSetting_Story_01_Episode,16,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/17_No_a,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,17,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/17_Sub,アウト・オブ・眼中,Вне поля зрения,DT_WidgetSetting_Story_01_Episode,17,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/18_No_a,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,18,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/18_Sub,秋名のハチロク‥？,Хачироку из Акины…?,DT_WidgetSetting_Story_01_Episode,18,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/19_No_a,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,19,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/19_Sub,変わる勢力図,Изменение расстановки сил,DT_WidgetSetting_Story_01_Episode,19,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/20_No_a,第５話,Эпизод 5,DT_WidgetSetting_Story_01_Episode,20,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/20_Sub,再会、白い彗星,"Воссоединение, Белая комета",DT_WidgetSetting_Story_01_Episode,20,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/21_No_a,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,21,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/21_Sub,エンペラー,Император,DT_WidgetSetting_Story_01_Episode,21,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/22_No_a,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,22,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/22_Sub,壮絶、ドッグファイト,"Эпический, Догфайт",DT_WidgetSetting_Story_01_Episode,22,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/23_No_a,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,23,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/23_Sub,小柏という男,Мужчина по имени Кобаяси,DT_WidgetSetting_Story_01_Episode,23,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/24_No_a,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,24,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/24_Sub,掟破りの地元走り,Нарушение местных правил,DT_WidgetSetting_Story_01_Episode,24,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/25_No_a,第５話,Эпизод 5,DT_WidgetSetting_Story_01_Episode,25,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/25_Sub,講習会,Семинар,DT_WidgetSetting_Story_01_Episode,25,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/26_No_a,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,26,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/26_Sub,雪、敵、ヤンキー,"Снег, враги, хулиганы",DT_WidgetSetting_Story_01_Episode,26,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/27_No_a,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,27,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/27_Sub,彗星不在のレイトショー,Лунный свет,DT_WidgetSetting_Story_01_Episode,27,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/28_No_a,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,28,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/28_Sub,涼介からの依頼,Запрос от Рёсукэ,DT_WidgetSetting_Story_01_Episode,28,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/29_No_a,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,29,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/29_Sub,レッドサンズのナンバーツー,Номер два Рэд Санз,DT_WidgetSetting_Story_01_Episode,29,Sub_9_639DEA75444471C18B35C08C38DF9C9D
DT_WidgetSetting_Story_01_Episode/30_No_a,第５話,Эпизод 5,DT_WidgetSetting_Story_01_Episode,30,No_13_BB31986C448DD0869514518D818BD2A5
DT_WidgetSetting_Story_01_Episode/30_Sub,秋名のハチロク,Хачироку из Акины,DT_WidgetSetting_Story_01_Episode,30,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/F823515944AFAC6A93BED592DD8995D0,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,31,No_13_BB31986C448DD0869514518D818BD2A5
/8DB3FF07413B1BA2F1F9A39FFF0B8586,プロジェクトD,Проект D,DT_WidgetSetting_Story_01_Episode,31,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/A0D7D4F94C30EE793FCBEDAE61C1C66E,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,32,No_13_BB31986C448DD0869514518D818BD2A5
/7DDD98AE455D648F17DD2D97CA742701,彗星の影を追え,Лунный свет,DT_WidgetSetting_Story_01_Episode,32,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/E895515349F00B9D0143C4BAC19D2021,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,33,No_13_BB31986C448DD0869514518D818BD2A5
/1940E859480B46FEEC8B70A8C47CCBBF,まだ見ぬ強者たち,Запрос от Рёсукэ,DT_WidgetSetting_Story_01_Episode,33,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/0E3AB4E948682CE221FCA3A034689E57,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,34,No_13_BB31986C448DD0869514518D818BD2A5
/56E9526445559BBD43A373867AC9F796,馬力と技術,Мощность и технологии,DT_WidgetSetting_Story_01_Episode,34,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/683496A44E5764929C8D52965A74A3AF,第５話,Эпизод 5,DT_WidgetSetting_Story_01_Episode,35,No_13_BB31986C448DD0869514518D818BD2A5
/1CF038404D1451691BBD1284DB27ECFA,復活、カミカゼダウンヒラー,"Возрождение, Камикaзe Даунхиллер",DT_WidgetSetting_Story_01_Episode,35,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/050C53DA4B49177D6E840E86ADF2AD79,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,36,No_13_BB31986C448DD0869514518D818BD2A5
/9B79B2B1449C7D988FF7989D5E7737BC,東堂塾,Тодо Дзюку,DT_WidgetSetting_Story_01_Episode,36,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/5247998C4F50E895008C32A71BC59235,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,37,No_13_BB31986C448DD0869514518D818BD2A5
/BD05AD1145A2B3D9ECC134B30282A3DA,伝説の男,Легендарный человек,DT_WidgetSetting_Story_01_Episode,37,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/CA209B6B42BE0F00FA6CDEAC2C54302A,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,38,No_13_BB31986C448DD0869514518D818BD2A5
/8726C8A8407CD9B142E3C598B8E16E8A,塾生の実力,Сила студентов,DT_WidgetSetting_Story_01_Episode,38,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/69BEFE9A41BC7C0D54A8BF80CC1F904D,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,39,No_13_BB31986C448DD0869514518D818BD2A5
/B090D85649397B6462E05A832DF3B9AE,仕掛けられた罠,Засада,DT_WidgetSetting_Story_01_Episode,39,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/F977CCF04C43AB6739F76D9CDBCE4CA4,第５話,Эпизод 5,DT_WidgetSetting_Story_01_Episode,40,No_13_BB31986C448DD0869514518D818BD2A5
/B00CAA6A40998069585FA093B6E63F02,現役最強の男,Самый сильный гонщик,DT_WidgetSetting_Story_01_Episode,40,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/2F735EBF4ECA19C4937E9A8098BF4F6F,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,41,No_13_BB31986C448DD0869514518D818BD2A5
/3D713F264F63012CE33C85A559860862,悪夢のマシン,Машина-кошмар,DT_WidgetSetting_Story_01_Episode,41,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/642C43F54124031D87B008BE413428E1,埼玉北西エリア連合,Союз Северо-Западного Сайтамы,DT_WidgetSetting_Story_01_Episode,42,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/4921540B42DEC72E7AD11D806F43B870,恋する乙女,Влюблённая девушка,DT_WidgetSetting_Story_01_Episode,43,Sub_9_639DEA75444471C18B35C08C38DF9C9D
