key,source,target
/C395EAB540C4B5AD8B8AB4AF989E440E,走り屋グレードがＥ８になった！,
/76775EE94D403E7A6A196CA3293C2EB9,走り屋グレードがＥ７になった！,
/35F09DF446B34B79E130F08FBD6F9748,走り屋グレードがＥ６になった！,
/40EC36644B32E3E5862949A2D142308F,走り屋グレードがＥ５になった！,
/AD37E93B47458F43FDA9A3803B2BBCB5,走り屋グレードがＥ４になった！,
/C3C3B37D4A2372D457BDE28774EDCDD6,走り屋グレードがＥ３になった！,
DT_DriverGrade/8_RewardReason,走り屋グレードがＥ２になった！,车手级别达到E2！
DT_DriverGrade/9_RewardReason,走り屋グレードがＥ１になった！,车手级别达到E1！
DT_DriverGrade/10_RewardReason,走り屋グレードがＤ９になった！,车手级别达到D9！
DT_DriverGrade/11_RewardReason,走り屋グレードがＤ８になった！,车手级别达到D8！
DT_DriverGrade/12_RewardReason,走り屋グレードがＤ７になった！,车手级别达到D7！
DT_DriverGrade/13_RewardReason,走り屋グレードがＤ６になった！,车手级别达到D6！
DT_DriverGrade/14_RewardReason,走り屋グレードがＤ５になった！,车手级别达到D5！
DT_DriverGrade/15_RewardReason,走り屋グレードがＤ４になった！,车手级别达到D4！
DT_DriverGrade/16_RewardReason,走り屋グレードがＤ３になった！,车手级别达到D3！
DT_DriverGrade/17_RewardReason,走り屋グレードがＤ２になった！,车手级别达到D2！
DT_DriverGrade/18_RewardReason,走り屋グレードがＤ１になった！,车手级别达到D1！
DT_DriverGrade/19_RewardReason,走り屋グレードがＣ９になった！,车手级别达到C9！
DT_DriverGrade/20_RewardReason,走り屋グレードがＣ８になった！,车手级别达到C8！
DT_DriverGrade/21_RewardReason,走り屋グレードがＣ７になった！,车手级别达到C7！
DT_DriverGrade/22_RewardReason,走り屋グレードがＣ６になった！,车手级别达到C6！
DT_DriverGrade/23_RewardReason,走り屋グレードがＣ５になった！,车手级别达到C5！
DT_DriverGrade/24_RewardReason,走り屋グレードがＣ４になった！,车手级别达到C4！
DT_DriverGrade/25_RewardReason,走り屋グレードがＣ３になった！,车手级别达到C3！
DT_DriverGrade/26_RewardReason,走り屋グレードがＣ２になった！,车手级别达到C2！
DT_DriverGrade/27_RewardReason,走り屋グレードがＣ１になった！,车手级别达到C1！
DT_DriverGrade/28_RewardReason,走り屋グレードがＢ９になった！,车手级别达到B9！
DT_DriverGrade/29_RewardReason,走り屋グレードがＢ８になった！,车手级别达到B8！
DT_DriverGrade/30_RewardReason,走り屋グレードがＢ７になった！,车手级别达到B7！
DT_DriverGrade/31_RewardReason,走り屋グレードがＢ６になった！,车手级别达到B6！
DT_DriverGrade/32_RewardReason,走り屋グレードがＢ５になった！,车手级别达到B5！
DT_DriverGrade/33_RewardReason,走り屋グレードがＢ４になった！,车手级别达到B4！
DT_DriverGrade/34_RewardReason,走り屋グレードがＢ３になった！,车手级别达到B3！
DT_DriverGrade/35_RewardReason,走り屋グレードがＢ２になった！,车手级别达到B2！
DT_DriverGrade/36_RewardReason,走り屋グレードがＢ１になった！,车手级别达到B1！
DT_DriverGrade/37_RewardReason,走り屋グレードがＡ９になった！,车手级别达到A9！
DT_DriverGrade/38_RewardReason,走り屋グレードがＡ８になった！,车手级别达到A8！
DT_DriverGrade/39_RewardReason,走り屋グレードがＡ７になった！,车手级别达到A7！
DT_DriverGrade/40_RewardReason,走り屋グレードがＡ６になった！,车手级别达到A6！
DT_DriverGrade/41_RewardReason,走り屋グレードがＡ５になった！,车手级别达到A5！
DT_DriverGrade/42_RewardReason,走り屋グレードがＡ４になった！,车手级别达到A4！
DT_DriverGrade/43_RewardReason,走り屋グレードがＡ３になった！,车手级别达到A3！
DT_DriverGrade/44_RewardReason,走り屋グレードがＡ２になった！,车手级别达到A2！
DT_DriverGrade/45_RewardReason,走り屋グレードがＡ１になった！,车手级别达到A1！
DT_DriverGrade/46_RewardReason,走り屋グレードがＳ９になった！,车手级别达到S9！
DT_DriverGrade/47_RewardReason,走り屋グレードがＳ８になった！,车手级别达到S8！
DT_DriverGrade/48_RewardReason,走り屋グレードがＳ７になった！,车手级别达到S7！
DT_DriverGrade/49_RewardReason,走り屋グレードがＳ６になった！,车手级别达到S6！
DT_DriverGrade/50_RewardReason,走り屋グレードがＳ５になった！,车手级别达到S5！
DT_DriverGrade/51_RewardReason,走り屋グレードがＳ４になった！,车手级别达到S4！
DT_DriverGrade/52_RewardReason,走り屋グレードがＳ３になった！,车手级别达到S3！
DT_DriverGrade/53_RewardReason,走り屋グレードがＳ２になった！,车手级别达到S2！
DT_DriverGrade/54_RewardReason,走り屋グレードがＳ１になった！,车手级别达到S1！
DT_DriverGrade/55_RewardReason,走り屋グレードがＳＳ９になった！,车手级别达到SS9！
DT_DriverGrade/56_RewardReason,走り屋グレードがＳＳ８になった！,车手级别达到SS8！
DT_DriverGrade/57_RewardReason,走り屋グレードがＳＳ７になった！,车手级别达到SS7！
DT_DriverGrade/58_RewardReason,走り屋グレードがＳＳ６になった！,车手级别达到SS6！
DT_DriverGrade/59_RewardReason,走り屋グレードがＳＳ５になった！,车手级别达到SS5！
DT_DriverGrade/60_RewardReason,走り屋グレードがＳＳ４になった！,车手级别达到SS4！
DT_DriverGrade/61_RewardReason,走り屋グレードがＳＳ３になった！,车手级别达到SS3！
DT_DriverGrade/62_RewardReason,走り屋グレードがＳＳ２になった！,车手级别达到SS2！
DT_DriverGrade/63_RewardReason,走り屋グレードがＳＳ１になった！,车手级别达到SS1！
DT_DriverGrade/64_RewardReason,走り屋グレードがＸ９になった！,车手级别达到X9！
DT_DriverGrade/65_RewardReason,走り屋グレードがＸ８になった！,车手级别达到X8！
DT_DriverGrade/66_RewardReason,走り屋グレードがＸ７になった！,车手级别达到X7！
DT_DriverGrade/67_RewardReason,走り屋グレードがＸ６になった！,车手级别达到X6！
DT_DriverGrade/68_RewardReason,走り屋グレードがＸ５になった！,车手级别达到X5！
DT_DriverGrade/69_RewardReason,走り屋グレードがＸ４になった！,车手级别达到X4！
DT_DriverGrade/70_RewardReason,走り屋グレードがＸ３になった！,车手级别达到X3！
DT_DriverGrade/71_RewardReason,走り屋グレードがＸ２になった！,车手级别达到X2！
DT_DriverGrade/72_RewardReason,走り屋グレードがＸ１になった！,车手级别达到X1！
DT_DriverGrade/73_RewardReason,走り屋グレードがＸＸ９になった！,车手级别达到XX9！
DT_DriverGrade/74_RewardReason,走り屋グレードがＸＸ８になった！,车手级别达到XX8！
DT_DriverGrade/75_RewardReason,走り屋グレードがＸＸ７になった！,车手级别达到XX7！
DT_DriverGrade/76_RewardReason,走り屋グレードがＸＸ６になった！,车手级别达到XX6！
DT_DriverGrade/77_RewardReason,走り屋グレードがＸＸ５になった！,车手级别达到XX5！
DT_DriverGrade/78_RewardReason,走り屋グレードがＸＸ４になった！,车手级别达到XX4！
DT_DriverGrade/79_RewardReason,走り屋グレードがＸＸ３になった！,车手级别达到XX3！
DT_DriverGrade/80_RewardReason,走り屋グレードがＸＸ２になった！,车手级别达到XX2！
DT_DriverGrade/81_RewardReason,走り屋グレードがＸＸ１になった！,车手级别达到XX1！
