key,source,target
DT_InstoreRank/2_RewardReason,店内ランクがグリーン★になった！,店内等级达到绿色★！
DT_InstoreRank/3_RewardReason,店内ランクがグリーン★★になった！,店内等级达到绿色★★！
DT_InstoreRank/4_RewardReason,店内ランクがグリーン★★★になった！,店内等级达到绿色★★★！
DT_InstoreRank/5_RewardReason,店内ランクがブルー★になった！,店内等级达到蓝色★！
DT_InstoreRank/6_RewardReason,店内ランクがブルー★★になった！,店内等级达到蓝色★★！
DT_InstoreRank/7_RewardReason,店内ランクがブルー★★★になった！,店内等级达到蓝色★★★！
DT_InstoreRank/8_RewardReason,店内ランクがレッド★になった！,店内等级达到红色★！
DT_InstoreRank/9_RewardReason,店内ランクがレッド★★になった！,店内等级达到红色★★！
DT_InstoreRank/10_RewardReason,店内ランクがレッド★★★になった！,店内等级达到红色★★★！
DT_InstoreRank/11_RewardReason,店内ランクがクリアグリーン★になった！,店内等级达到水晶绿★！
DT_InstoreRank/12_RewardReason,店内ランクがクリアグリーン★★になった！,店内等级达到水晶绿★★！
DT_InstoreRank/13_RewardReason,店内ランクがクリアグリーン★★★になった！,店内等级达到水晶绿★★★！
DT_InstoreRank/14_RewardReason,店内ランクがクリアグリーン★★★★になった！,店内等级达到水晶绿★★★★！
DT_InstoreRank/15_RewardReason,店内ランクがクリアグリーン★★★★★になった！,店内等级达到水晶绿★★★★★！
DT_InstoreRank/16_RewardReason,店内ランクがクリアブルー★になった！,店内等级达到水晶蓝★！
DT_InstoreRank/17_RewardReason,店内ランクがクリアブルー★★になった！,店内等级达到水晶蓝★★！
DT_InstoreRank/18_RewardReason,店内ランクがクリアブルー★★★になった！,店内等级达到水晶蓝★★★！
DT_InstoreRank/19_RewardReason,店内ランクがクリアブルー★★★★になった！,店内等级达到水晶蓝★★★★！
DT_InstoreRank/20_RewardReason,店内ランクがクリアブルー★★★★★になった！,店内等级达到水晶蓝★★★★★！
DT_InstoreRank/21_RewardReason,店内ランクがクリアレッド★になった！,店内等级达到水晶红★！
DT_InstoreRank/22_RewardReason,店内ランクがクリアレッド★★になった！,店内等级达到水晶红★★！
DT_InstoreRank/23_RewardReason,店内ランクがクリアレッド★★★になった！,店内等级达到水晶红★★★！
DT_InstoreRank/24_RewardReason,店内ランクがクリアレッド★★★★になった！,店内等级达到水晶红★★★★！
DT_InstoreRank/25_RewardReason,店内ランクがクリアレッド★★★★★になった！,店内等级达到水晶红★★★★★！
DT_InstoreRank/26_RewardReason,店内ランクがエメラルド★になった！,店内等级达到绿宝石★！
DT_InstoreRank/27_RewardReason,店内ランクがエメラルド★★になった！,店内等级达到绿宝石★★！
DT_InstoreRank/28_RewardReason,店内ランクがエメラルド★★★になった！,店内等级达到绿宝石★★★！
DT_InstoreRank/29_RewardReason,店内ランクがエメラルド★★★★になった！,店内等级达到绿宝石★★★★！
DT_InstoreRank/30_RewardReason,店内ランクがエメラルド★★★★★になった！,店内等级达到绿宝石★★★★★！
DT_InstoreRank/31_RewardReason,店内ランクがエメラルド★★★★★★になった！,店内等级达到绿宝石★★★★★★！
DT_InstoreRank/32_RewardReason,店内ランクがサファイア★になった！,店内等级达到蓝宝石★！
DT_InstoreRank/33_RewardReason,店内ランクがサファイア★★になった！,店内等级达到蓝宝石★★！
DT_InstoreRank/34_RewardReason,店内ランクがサファイア★★★になった！,店内等级达到蓝宝石★★★！
DT_InstoreRank/35_RewardReason,店内ランクがサファイア★★★★になった！,店内等级达到蓝宝石★★★★！
DT_InstoreRank/36_RewardReason,店内ランクがサファイア★★★★★になった！,店内等级达到蓝宝石★★★★★！
DT_InstoreRank/37_RewardReason,店内ランクがサファイア★★★★★★になった！,店内等级达到蓝宝石★★★★★★！
DT_InstoreRank/38_RewardReason,店内ランクがサファイア★★★★★★★になった！,店内等级达到蓝宝石★★★★★★★！
DT_InstoreRank/39_RewardReason,店内ランクがルビー★になった！,店内等级达到红宝石★！
DT_InstoreRank/40_RewardReason,店内ランクがルビー★★になった！,店内等级达到红宝石★★！
DT_InstoreRank/41_RewardReason,店内ランクがルビー★★★になった！,店内等级达到红宝石★★★！
DT_InstoreRank/42_RewardReason,店内ランクがルビー★★★★になった！,店内等级达到红宝石★★★★！
DT_InstoreRank/43_RewardReason,店内ランクがルビー★★★★★になった！,店内等级达到红宝石★★★★★！
DT_InstoreRank/44_RewardReason,店内ランクがルビー★★★★★★になった！,店内等级达到红宝石★★★★★★！
DT_InstoreRank/45_RewardReason,店内ランクがルビー★★★★★★★になった！,店内等级达到红宝石★★★★★★★！
DT_InstoreRank/46_RewardReason,店内ランクがルビー★★★★★★★★になった！,店内等级达到红宝石★★★★★★★★！
DT_InstoreRank/47_RewardReason,店内ランクがブラックダイヤモンド★になった！,店内等级达到黑钻石★！
DT_InstoreRank/48_RewardReason,店内ランクがブラックダイヤモンド★★になった！,店内等级达到黑钻石★★！
DT_InstoreRank/49_RewardReason,店内ランクがブラックダイヤモンド★★★になった！,店内等级达到黑钻石★★★！
DT_InstoreRank/50_RewardReason,店内ランクがブラックダイヤモンド★★★★になった！,店内等级达到黑钻石★★★★！
DT_InstoreRank/51_RewardReason,店内ランクがブラックダイヤモンド★★★★★になった！,店内等级达到黑钻石★★★★★！
DT_InstoreRank/52_RewardReason,店内ランクがブラックダイヤモンド★★★★★★になった！,店内等级达到黑钻石★★★★★★！
DT_InstoreRank/53_RewardReason,店内ランクがブラックダイヤモンド★★★★★★★になった！,店内等级达到黑钻石★★★★★★★！
DT_InstoreRank/54_RewardReason,店内ランクがブラックダイヤモンド★★★★★★★★になった！,店内等级达到黑钻石★★★★★★★★！
DT_InstoreRank/55_RewardReason,店内ランクがブラックダイヤモンド★★★★★★★★★になった！,店内等级达到黑钻石★★★★★★★★★！
DT_InstoreRank/56_RewardReason,店内ランクがあがった！,Dummy
DT_InstoreRank/57_RewardReason,店内ランクがあがった！,Dummy
DT_InstoreRank/58_RewardReason,店内ランクがあがった！,Dummy
DT_InstoreRank/59_RewardReason,店内ランクがあがった！,Dummy
DT_InstoreRank/60_RewardReason,店内ランクがあがった！,Dummy
DT_InstoreRank/61_RewardReason,店内ランクがあがった！,Dummy
DT_InstoreRank/62_RewardReason,店内ランクがあがった！,Dummy
DT_InstoreRank/63_RewardReason,店内ランクがあがった！,Dummy
