key,source,target
DT_NeonTableInfo/Neon_toho_reimu_50_UnderNeonName,アンダーネオン(博麗霊夢),UNDER NEON(REIMU HAKUREI)
DT_NeonTableInfo/Neon_toho_marisa_51_UnderNeonName,アンダーネオン(霧雨魔理沙),UNDER NEON(MARISA KIRISAME)
DT_NeonTableInfo/Neon_toho_shameimar_52_UnderNeonName,アンダーネオン(射命丸文),UNDER NEON(AYA SHAMEIMARU)
DT_NeonTableInfo/Neon_inid_wave_00_UnderNeonName,ウェーブ,WAVE
DT_NeonTableInfo/Neon_inid_wave_01_UnderNeonName,ウェーブ（レッド）,WAVE (RED)
DT_NeonTableInfo/Neon_inid_wave_02_UnderNeonName,ウェーブ（オレンジ）,WAVE (ORANGE)
DT_NeonTableInfo/Neon_inid_wave_03_UnderNeonName,ウェーブ（イエロー）,WAVE (YELLOW)
DT_NeonTableInfo/Neon_inid_wave_04_UnderNeonName,ウェーブ（ライトグリーン）,WAVE (LIGHT GREEN)
DT_NeonTableInfo/Neon_inid_wave_05_UnderNeonName,ウェーブ（グリーン）,WAVE (GREEN)
DT_NeonTableInfo/Neon_inid_wave_06_UnderNeonName,ウェーブ（ライトブルー）,WAVE (LIGHT BLUE)
DT_NeonTableInfo/Neon_inid_wave_07_UnderNeonName,ウェーブ（ブルー）,WAVE (BLUE)
DT_NeonTableInfo/Neon_inid_wave_08_UnderNeonName,ウェーブ（パープル）,WAVE (PURPLE)
DT_NeonTableInfo/Neon_inid_wave_09_UnderNeonName,ウェーブ（ピンク）,WAVE (PINK)
DT_NeonTableInfo/Neon_inid_wave_10_UnderNeonName,ウェーブ（ゴールド）,WAVE (GOLD)
DT_NeonTableInfo/Neon_inid_wave_11_UnderNeonName,ウェーブ（シルバー）,WAVE (SILVER)
DT_NeonTableInfo/Neon_inid_wave_12_UnderNeonName,ウェーブ（ホワイト）,WAVE (WHITE)
DT_NeonTableInfo/Neon_inid_spark_00_UnderNeonName,スパーク,SPARK
DT_NeonTableInfo/Neon_inid_spark_01_UnderNeonName,スパーク（レッド）,SPARK (RED)
DT_NeonTableInfo/Neon_inid_spark_02_UnderNeonName,スパーク（オレンジ）,SPARK (ORANGE)
DT_NeonTableInfo/Neon_inid_spark_03_UnderNeonName,スパーク（イエロー）,SPARK (YELLOW)
DT_NeonTableInfo/Neon_inid_spark_04_UnderNeonName,スパーク（ライトグリーン）,SPARK (LIGHT GREEN)
DT_NeonTableInfo/Neon_inid_spark_05_UnderNeonName,スパーク（グリーン）,SPARK (GREEN)
DT_NeonTableInfo/Neon_inid_spark_06_UnderNeonName,スパーク（ライトブルー）,SPARK (LIGHT BLUE)
DT_NeonTableInfo/Neon_inid_spark_07_UnderNeonName,スパーク（ブルー）,SPARK (BLUE)
DT_NeonTableInfo/Neon_inid_spark_08_UnderNeonName,スパーク（パープル）,SPARK (PURPLE)
DT_NeonTableInfo/Neon_inid_spark_09_UnderNeonName,スパーク（ピンク）,SPARK (PINK)
DT_NeonTableInfo/Neon_inid_spark_10_UnderNeonName,スパーク（ゴールド）,SPARK (GOLD)
DT_NeonTableInfo/Neon_inid_spark_11_UnderNeonName,スパーク（シルバー）,SPARK (SILVER)
DT_NeonTableInfo/Neon_inid_spark_12_UnderNeonName,スパーク（ホワイト）,SPARK (WHITE)
DT_NeonTableInfo/Neon_inid_leaf_00_UnderNeonName,リーフ,LEAF
DT_NeonTableInfo/Neon_inid_leaf_01_UnderNeonName,リーフ（レッド）,LEAF (RED)
DT_NeonTableInfo/Neon_inid_leaf_02_UnderNeonName,リーフ（オレンジ）,LEAF (ORANGE)
DT_NeonTableInfo/Neon_inid_leaf_03_UnderNeonName,リーフ（イエロー）,LEAF (YELLOW)
DT_NeonTableInfo/Neon_inid_leaf_04_UnderNeonName,リーフ（ライトグリーン）,LEAF (LIGHT GREEN)
DT_NeonTableInfo/Neon_inid_leaf_05_UnderNeonName,リーフ（グリーン）,LEAF (GREEN)
DT_NeonTableInfo/Neon_inid_leaf_06_UnderNeonName,リーフ（ライトブルー）,LEAF (LIGHT BLUE)
DT_NeonTableInfo/Neon_inid_leaf_07_UnderNeonName,リーフ（ブルー）,LEAF (BLUE)
DT_NeonTableInfo/Neon_inid_leaf_08_UnderNeonName,リーフ（パープル）,LEAF (PURPLE)
DT_NeonTableInfo/Neon_inid_leaf_09_UnderNeonName,リーフ（ピンク）,LEAF (PINK)
DT_NeonTableInfo/Neon_inid_leaf_10_UnderNeonName,リーフ（ゴールド）,LEAF (GOLD)
DT_NeonTableInfo/Neon_inid_leaf_11_UnderNeonName,リーフ（シルバー）,LEAF (SILVER)
DT_NeonTableInfo/Neon_inid_leaf_12_UnderNeonName,リーフ（ホワイト）,LEAF (WHITE)
DT_NeonTableInfo/Neon_inid_shock_00_UnderNeonName,ショック,SHOCK
DT_NeonTableInfo/Neon_inid_shock_01_UnderNeonName,ショック（レッド）,SHOCK (RED)
DT_NeonTableInfo/Neon_inid_shock_02_UnderNeonName,ショック（オレンジ）,SHOCK (ORANGE)
DT_NeonTableInfo/Neon_inid_shock_03_UnderNeonName,ショック（イエロー）,SHOCK (YELLOW)
DT_NeonTableInfo/Neon_inid_shock_04_UnderNeonName,ショック（ライトグリーン）,SHOCK (LIGHT GREEN)
DT_NeonTableInfo/Neon_inid_shock_05_UnderNeonName,ショック（グリーン）,SHOCK (GREEN)
DT_NeonTableInfo/Neon_inid_shock_06_UnderNeonName,ショック（ライトブルー）,SHOCK (LIGHT BLUE)
DT_NeonTableInfo/Neon_inid_shock_07_UnderNeonName,ショック（ブルー）,SHOCK (BLUE)
DT_NeonTableInfo/Neon_inid_shock_08_UnderNeonName,ショック（パープル）,SHOCK (PURPLE)
DT_NeonTableInfo/Neon_inid_shock_09_UnderNeonName,ショック（ピンク）,SHOCK (PINK)
DT_NeonTableInfo/Neon_inid_shock_10_UnderNeonName,ショック（ゴールド）,SHOCK (GOLD)
DT_NeonTableInfo/Neon_inid_shock_11_UnderNeonName,ショック（シルバー）,SHOCK (SILVER)
DT_NeonTableInfo/Neon_inid_shock_12_UnderNeonName,ショック（ホワイト）,SHOCK (WHITE)
DT_NeonTableInfo/Neon_inid_cyber_00_UnderNeonName,サイバー,CYBER
DT_NeonTableInfo/Neon_inid_cyber_01_UnderNeonName,サイバー（レッド）,CYBER (RED)
DT_NeonTableInfo/Neon_inid_cyber_02_UnderNeonName,サイバー（オレンジ）,CYBER (ORANGE)
DT_NeonTableInfo/Neon_inid_cyber_03_UnderNeonName,サイバー（イエロー）,CYBER (YELLOW)
DT_NeonTableInfo/Neon_inid_cyber_04_UnderNeonName,サイバー（ライトグリーン）,CYBER (LIGHT GREEN)
DT_NeonTableInfo/Neon_inid_cyber_05_UnderNeonName,サイバー（グリーン）,CYBER (GREEN)
DT_NeonTableInfo/Neon_inid_cyber_06_UnderNeonName,サイバー（ライトブルー）,CYBER (LIGHT BLUE)
DT_NeonTableInfo/Neon_inid_cyber_07_UnderNeonName,サイバー（ブルー）,CYBER (BLUE)
DT_NeonTableInfo/Neon_inid_cyber_08_UnderNeonName,サイバー（パープル）,CYBER (PURPLE)
DT_NeonTableInfo/Neon_inid_cyber_09_UnderNeonName,サイバー（ピンク）,CYBER (PINK)
DT_NeonTableInfo/Neon_inid_cyber_10_UnderNeonName,サイバー（ゴールド）,CYBER (GOLD)
DT_NeonTableInfo/Neon_inid_cyber_11_UnderNeonName,サイバー（シルバー）,CYBER (SILVER)
DT_NeonTableInfo/Neon_inid_cyber_12_UnderNeonName,サイバー（ホワイト）,CYBER (WHITE)
DT_NeonTableInfo/Neon_inid_snow_00_UnderNeonName,スノウ,SNOW
DT_NeonTableInfo/Neon_inid_snow_01_UnderNeonName,スノウ（レッド）,SNOW (RED)
DT_NeonTableInfo/Neon_inid_snow_02_UnderNeonName,スノウ（オレンジ）,SNOW (ORANGE)
DT_NeonTableInfo/Neon_inid_snow_03_UnderNeonName,スノウ（イエロー）,SNOW (YELLOW)
DT_NeonTableInfo/Neon_inid_snow_04_UnderNeonName,スノウ（ライトグリーン）,SNOW (LIGHT GREEN)
DT_NeonTableInfo/Neon_inid_snow_05_UnderNeonName,スノウ（グリーン）,SNOW (GREEN)
DT_NeonTableInfo/Neon_inid_snow_06_UnderNeonName,スノウ（ライトブルー）,SNOW (LIGHT BLUE)
DT_NeonTableInfo/Neon_inid_snow_07_UnderNeonName,スノウ（ブルー）,SNOW (BLUE)
DT_NeonTableInfo/Neon_inid_snow_08_UnderNeonName,スノウ（パープル）,SNOW (PURPLE)
DT_NeonTableInfo/Neon_inid_snow_09_UnderNeonName,スノウ（ピンク）,SNOW (PINK)
DT_NeonTableInfo/Neon_inid_snow_10_UnderNeonName,スノウ（ゴールド）,SNOW (GOLD)
DT_NeonTableInfo/Neon_inid_snow_11_UnderNeonName,スノウ（シルバー）,SNOW (SILVER)
DT_NeonTableInfo/Neon_inid_snow_12_UnderNeonName,スノウ（ホワイト）,SNOW (WHITE)
DT_NeonTableInfo/Neon_inid_shape_00_UnderNeonName,シェイプ,SHAPE
DT_NeonTableInfo/Neon_inid_shape_01_UnderNeonName,シェイプ（レッド）,SHAPE (RED)
DT_NeonTableInfo/Neon_inid_shape_02_UnderNeonName,シェイプ（オレンジ）,SHAPE (ORANGE)
DT_NeonTableInfo/Neon_inid_shape_03_UnderNeonName,シェイプ（イエロー）,SHAPE (YELLOW)
DT_NeonTableInfo/Neon_inid_shape_04_UnderNeonName,シェイプ（ライトグリーン）,SHAPE (LIGHT GREEN)
DT_NeonTableInfo/Neon_inid_shape_05_UnderNeonName,シェイプ（グリーン）,SHAPE (GREEN)
DT_NeonTableInfo/Neon_inid_shape_06_UnderNeonName,シェイプ（ライトブルー）,SHAPE (LIGHT BLUE)
DT_NeonTableInfo/Neon_inid_shape_07_UnderNeonName,シェイプ（ブルー）,SHAPE (BLUE)
DT_NeonTableInfo/Neon_inid_shape_08_UnderNeonName,シェイプ（パープル）,SHAPE (PURPLE)
DT_NeonTableInfo/Neon_inid_shape_09_UnderNeonName,シェイプ（ピンク）,SHAPE (PINK)
DT_NeonTableInfo/Neon_inid_shape_10_UnderNeonName,シェイプ（ゴールド）,SHAPE (GOLD)
DT_NeonTableInfo/Neon_inid_shape_11_UnderNeonName,シェイプ（シルバー）,SHAPE (SILVER)
DT_NeonTableInfo/Neon_inid_shape_12_UnderNeonName,シェイプ（ホワイト）,SHAPE (WHITE)
DT_NeonTableInfo/Neon_inid_neon_00_UnderNeonName,ストレート,STRAIGHT
DT_NeonTableInfo/Neon_inid_neon_01_UnderNeonName,ストレート（レッド）,STRAIGHT (RED)
DT_NeonTableInfo/Neon_inid_neon_02_UnderNeonName,ストレート（オレンジ）,STRAIGHT (ORANGE)
DT_NeonTableInfo/Neon_inid_neon_03_UnderNeonName,ストレート（イエロー）,STRAIGHT (YELLOW)
DT_NeonTableInfo/Neon_inid_neon_04_UnderNeonName,ストレート（ライトグリーン）,STRAIGHT (LIGHT GREEN)
