key,source,target
DT_StoryRank/2_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/3_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/4_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/5_RewardReason,ストーリーランクがブルー★になった！,剧情等级达到蓝色★！
DT_StoryRank/6_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/7_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/8_RewardReason,ストーリーランクがレッド★になった！,剧情等级达到红色★！
DT_StoryRank/9_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/10_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/11_RewardReason,ストーリーランクがクリアグリーン★になった！,剧情等级达到水晶绿★！
DT_StoryRank/12_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/13_RewardReason,ストーリーランクがクリアグリーン★★★になった！,剧情等级达到水晶绿★★★！
DT_StoryRank/14_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/15_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/16_RewardReason,ストーリーランクがクリアブルー★になった！,剧情等级达到水晶蓝★！
DT_StoryRank/17_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/18_RewardReason,ストーリーランクがクリアブルー★★★になった！,剧情等级达到水晶蓝★★★！
DT_StoryRank/19_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/20_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/21_RewardReason,ストーリーランクがクリアレッド★になった！,剧情等级达到水晶红★！
DT_StoryRank/22_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/23_RewardReason,ストーリーランクがクリアレッド★★★になった！,剧情等级达到水晶红★★★！
DT_StoryRank/24_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/25_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/26_RewardReason,ストーリーランクがエメラルド★になった！,剧情等级达到绿宝石★！
DT_StoryRank/27_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/28_RewardReason,ストーリーランクがエメラルド★★★になった！,剧情等级达到绿宝石★★★！
DT_StoryRank/29_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/30_RewardReason,ストーリーランクがエメラルド★★★★★になった！,剧情等级达到绿宝石★★★★★！
DT_StoryRank/31_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/32_RewardReason,ストーリーランクがサファイア★になった！,剧情等级达到蓝宝石★！
DT_StoryRank/33_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/34_RewardReason,ストーリーランクがサファイア★★★になった！,剧情等级达到蓝宝石★★★！
DT_StoryRank/35_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/36_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/37_RewardReason,ストーリーランクがサファイア★★★★★★になった！,剧情等级达到蓝宝石★★★★★★！
DT_StoryRank/38_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/39_RewardReason,ストーリーランクがルビー★になった！,剧情等级达到红宝石★！
DT_StoryRank/40_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/41_RewardReason,ストーリーランクがルビー★★★になった！,剧情等级达到红宝石★★★！
DT_StoryRank/42_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/43_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/44_RewardReason,ストーリーランクがルビー★★★★★★になった！,剧情等级达到红宝石★★★★★★！
DT_StoryRank/45_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/46_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/47_RewardReason,ストーリーランクがブラックダイヤモンド★になった！,剧情等级达到黑钻石★！
DT_StoryRank/48_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/49_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/50_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/51_RewardReason,ストーリーランクがブラックダイヤモンド★★★★★になった！,剧情等级达到黑钻石★★★★★！
DT_StoryRank/52_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/53_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/54_RewardReason,ストーリーランクがあがった！,剧情等级提升！
DT_StoryRank/55_RewardReason,ストーリーランクがブラックダイヤモンド★★★★★★★★★になった！,剧情等级达到黑钻石★★★★★★★★★！
