key,source,target
DT_WidgetSetting_Story_01_Episode/1_No_a,第１話,第１集
DT_WidgetSetting_Story_01_Episode/1_Sub,伝説前夜,传说前夜
DT_WidgetSetting_Story_01_Episode/2_No_a,第２話,第２集
DT_WidgetSetting_Story_01_Episode/2_Sub,峠のセオリー,山道的理论
DT_WidgetSetting_Story_01_Episode/3_No_a,第３話,第３集
DT_WidgetSetting_Story_01_Episode/3_Sub,秋名スピードスターズ,秋名速度之星
DT_WidgetSetting_Story_01_Episode/4_No_a,第４話,第４集
DT_WidgetSetting_Story_01_Episode/4_Sub,仲間にならないか？,不做队友吗？
DT_WidgetSetting_Story_01_Episode/5_No_a,第５話,第５集
DT_WidgetSetting_Story_01_Episode/5_Sub,赤城からの刺客,来自赤城的刺客
DT_WidgetSetting_Story_01_Episode/6_No_a,第１話,第１集
DT_WidgetSetting_Story_01_Episode/6_Sub,邂逅、白い彗星,邂逅，白色彗星
DT_WidgetSetting_Story_01_Episode/7_No_a,第２話,第２集
DT_WidgetSetting_Story_01_Episode/7_Sub,電光石火の余韻,电光火石的余韵
DT_WidgetSetting_Story_01_Episode/8_No_a,第３話,第３集
DT_WidgetSetting_Story_01_Episode/8_Sub,すれ違う天才,擦肩而过的天才
DT_WidgetSetting_Story_01_Episode/9_No_a,第４話,第４集
DT_WidgetSetting_Story_01_Episode/9_Sub,不敗神話のR,不败神话的R
DT_WidgetSetting_Story_01_Episode/10_No_a,第５話,第５集
DT_WidgetSetting_Story_01_Episode/10_Sub,デンジャラスナイト,颤栗之夜
DT_WidgetSetting_Story_01_Episode/11_No_a,第１話,第１集
DT_WidgetSetting_Story_01_Episode/11_Sub,青い衝撃,冲击之蓝
DT_WidgetSetting_Story_01_Episode/12_No_a,第２話,第２集
DT_WidgetSetting_Story_01_Episode/12_Sub,彗星に憧れて,对彗星的憧憬
DT_WidgetSetting_Story_01_Episode/13_No_a,第３話,第３集
DT_WidgetSetting_Story_01_Episode/13_Sub,刺客、再び,刺客，再次来袭
DT_WidgetSetting_Story_01_Episode/14_No_a,第４話,第４集
DT_WidgetSetting_Story_01_Episode/14_Sub,高橋兄弟,高桥兄弟
DT_WidgetSetting_Story_01_Episode/15_No_a,第５話,第５集
DT_WidgetSetting_Story_01_Episode/15_Sub,遅れてきた熱血漢,迟到的热血男人
DT_WidgetSetting_Story_01_Episode/16_No_a,第１話,第１集
DT_WidgetSetting_Story_01_Episode/16_Sub,影、迫る,暗影，迫近
DT_WidgetSetting_Story_01_Episode/17_No_a,第２話,第２集
DT_WidgetSetting_Story_01_Episode/17_Sub,アウト・オブ・眼中,没把你放在眼里
DT_WidgetSetting_Story_01_Episode/18_No_a,第３話,第３集
DT_WidgetSetting_Story_01_Episode/18_Sub,秋名のハチロク‥？,秋名的AE86……？
DT_WidgetSetting_Story_01_Episode/19_No_a,第４話,第４集
DT_WidgetSetting_Story_01_Episode/19_Sub,変わる勢力図,局势有变
DT_WidgetSetting_Story_01_Episode/20_No_a,第５話,第５集
DT_WidgetSetting_Story_01_Episode/20_Sub,再会、白い彗星,再会，白色彗星
DT_WidgetSetting_Story_01_Episode/21_No_a,第１話,第１集
DT_WidgetSetting_Story_01_Episode/21_Sub,エンペラー,帝王
DT_WidgetSetting_Story_01_Episode/22_No_a,第２話,第２集
DT_WidgetSetting_Story_01_Episode/22_Sub,壮絶、ドッグファイト,焦灼的对决
DT_WidgetSetting_Story_01_Episode/23_No_a,第３話,第３集
DT_WidgetSetting_Story_01_Episode/23_Sub,小柏という男,名为小柏的男人
DT_WidgetSetting_Story_01_Episode/24_No_a,第４話,第４集
DT_WidgetSetting_Story_01_Episode/24_Sub,掟破りの地元走り,打破规则的主场跑法
DT_WidgetSetting_Story_01_Episode/25_No_a,第５話,第５集
DT_WidgetSetting_Story_01_Episode/25_Sub,講習会,补习
DT_WidgetSetting_Story_01_Episode/26_No_a,第１話,第１集
DT_WidgetSetting_Story_01_Episode/26_Sub,雪、敵、ヤンキー,雪、敌人
DT_WidgetSetting_Story_01_Episode/27_No_a,第２話,第２集
DT_WidgetSetting_Story_01_Episode/27_Sub,彗星不在のレイトショー,彗星不在的深夜剧场
DT_WidgetSetting_Story_01_Episode/28_No_a,第３話,第３集
DT_WidgetSetting_Story_01_Episode/28_Sub,涼介からの依頼,凉介的委托
DT_WidgetSetting_Story_01_Episode/29_No_a,第４話,第４集
DT_WidgetSetting_Story_01_Episode/29_Sub,レッドサンズのナンバーツー,红太阳的No.2
DT_WidgetSetting_Story_01_Episode/30_No_a,第５話,第５集
DT_WidgetSetting_Story_01_Episode/30_Sub,秋名のハチロク,秋名的AE86
/F823515944AFAC6A93BED592DD8995D0,第１話,第１集
/8DB3FF07413B1BA2F1F9A39FFF0B8586,プロジェクトD,
/A0D7D4F94C30EE793FCBEDAE61C1C66E,第２話,第２集
/7DDD98AE455D648F17DD2D97CA742701,彗星の影を追え,
/E895515349F00B9D0143C4BAC19D2021,第３話,第３集
/1940E859480B46FEEC8B70A8C47CCBBF,まだ見ぬ強者たち,
/0E3AB4E948682CE221FCA3A034689E57,第４話,第４集
/56E9526445559BBD43A373867AC9F796,馬力と技術,
/683496A44E5764929C8D52965A74A3AF,第５話,第５集
/1CF038404D1451691BBD1284DB27ECFA,復活、カミカゼダウンヒラー,
/050C53DA4B49177D6E840E86ADF2AD79,第１話,第１集
/9B79B2B1449C7D988FF7989D5E7737BC,東堂塾,
/5247998C4F50E895008C32A71BC59235,第２話,第２集
/BD05AD1145A2B3D9ECC134B30282A3DA,伝説の男,
