key,source,target
AuraShapeName/0,無,None
AuraShapeName/1,標準,标准
AuraShapeName/2,飛翔 Lv.1,飞翔 Lv.1
AuraShapeName/3,飛翔 Lv.2,飞翔 Lv.2
AuraShapeName/4,飛翔 Lv.3,飞翔 Lv.3
AuraShapeName/5,飛翔 Lv.4,飞翔 Lv.4
AuraShapeName/6,飛翔 Lv.MAX,飞翔 Lv.MAX
AuraShapeName/7,灼熱,灼热
AuraShapeName/8,旋風,旋风
AuraShapeName/9,桜吹雪,樱吹雪
AuraShapeName/10,光,
AuraShapeName/11,雷光,雷电
AuraShapeName/12,邪気,邪灵
AuraShapeName/13,覇王,霸王
AuraShapeName/14,翔龍,升龙
AuraShapeName/15,紅葉,枫叶
AuraShapeName/16,白魔,白色恶魔
AuraShapeName/17,電脳,超算
AuraShapeName/18,サイバー,赛博
AuraShapeName/19,流星,
AuraShapeName/20,Hot-Version,Dummy
AuraShapeName/21,鳳凰,凤凰
AuraShapeName/22,剣,剑
AuraShapeName/23,ポプテピピック,Dummy
