key,source,target
CarDXColorName/0,DUMMY,
CarDXColorName/1,DX メタリック・レッド,DX METALLIC RED
CarDXColorName/2,DX メタリック・ダークレッド,DX METALLIC DARK RED
CarDXColorName/3,DX メタリック・ワインレッド,DX METALLIC WINE RED
CarDXColorName/4,DX メタリック・ピーチ,DX METALLIC PEACH
CarDXColorName/5,DX メタリック・ピンク,DX METALLIC PINK
CarDXColorName/6,DX メタリック・ブルー,DX METALLIC BLUE
CarDXColorName/7,DX メタリック・ダークブルー,DX METALLIC DARK BLUE
CarDXColorName/8,DX メタリック・ライトブルー,DX METALLIC LIGHT BLUE
CarDXColorName/9,DX メタリック・ターコイズブルー,DX METALLIC TURQUOISE  BLUE
CarDXColorName/10,DX メタリック・グリーン,DX METALLIC GREEN
CarDXColorName/11,DX メタリック・ダークグリーン,DX METALLIC DARK GREEN
CarDXColorName/12,DX メタリック・ライトグリーン,DX METALLIC LIGHT GREEN
CarDXColorName/13,DX メタリック・イエロー,DX METALLIC YELLOW
CarDXColorName/14,DX メタリック・ライトイエロー,DX METALLIC LIGHT YELLOW
CarDXColorName/15,DX メタリック・ゴールド,DX METALLIC GOLD
CarDXColorName/16,DX メタリック・オレンジ,DX METALLIC ORANGE
CarDXColorName/17,DX メタリック・アイボリー,DX METALLIC IVORY
CarDXColorName/18,DX メタリック・ガンメタル,DX METALLIC GUNMETAL
CarDXColorName/19,DX メタリック・グレー,DX METALLIC GRAY
CarDXColorName/20,DX メタリック・ライトグレー,DX METALLIC LIGHT GRAY
CarDXColorName/21,DX メタリック・パープル,DX METALLIC PURPLE
CarDXColorName/22,DX メタリック・パールホワイト,DX METALLIC PEARL WHITE
CarDXColorName/23,DX メタリック・ブリティッシュグリーン,DX METALLIC BRITISH GREEN
CarDXColorName/24,DX メタリック・ソリッドグレー,DX METALLIC SOLID GRAY
CarDXColorName/25,DX メタリック・エレクトリックブルー,DX METALLIC ELECTRIC BLUE
CarDXColorName/26,DX メタリック・ホワイトシルバー,DX METALLIC WHITE SILVER
CarDXColorName/27,DX メタリック・アイスドチョコレート,DX METALLIC ICED CHOCOLATE
CarDXColorName/28,DX メタリック・レモンスカッシュ,DX METALLIC LEMON SQUASH
CarDXColorName/29,DX メタリック・マゼンダベリーマイカ,DX METALLIC MAGENTA BERRY MICA
CarDXColorName/30,DX メタリック・サンシャインオレンジ,DX METALLIC SUNSHINE ORANGE
CarDXColorName/31,DX メタリック・ダークシェリーマイカ,DX METALLIC DARK SHERRY MICA
CarDXColorName/32,DX メタリック・ディープアメジストマイカ,DX METALLIC DEEP AMETHYST MICA
CarDXColorName/33,DX マット・ブラック,DX MATTE BLACK
CarDXColorName/34,DX マット・グレー,DX MATTE GRAY
CarDXColorName/35,DX マット・シルバー,DX MATTE SILVER
CarDXColorName/36,DX マット・レッド,DX MATTE RED
CarDXColorName/37,DX マット・ライトレッド,DX MATTE LIGHT RED
CarDXColorName/38,DX マット・グリーン,DX MATTE GREEN
CarDXColorName/39,DX マット・ダークグリーン,DX MATTE DARK GREEN
CarDXColorName/40,DX マット・ライトグリーン,DX MATTE LIGHT GREEN
CarDXColorName/41,DX マット・ブルー,DX MATTE BLUE
CarDXColorName/42,DX マット・ダークブルー,DX MATTE DARK BLUE
CarDXColorName/43,DX マット・ライトブルー,DX MATTE LIGHT BLUE
CarDXColorName/44,DX マット・イエロー,DX MATTE YELLOW
CarDXColorName/45,DX マット・ライトイエロー,DX MATTE LIGHT YELLOW
CarDXColorName/46,DX マット・オレンジ,DX MATTE ORANGE
CarDXColorName/47,DX マット・ピンク,DX MATTE PINK
CarDXColorName/48,DX マット・パープル,DX MATTE PURPLE
CarDXColorName/49,DX マット・ブラウン,DX MATTE BROWN
CarDXColorName/50,DX マット・ホワイト,DX MATTE WHITE
CarDXColorName/51,DX マット・アイボリー,DX MATTE IVORY
CarDXColorName/52,DX クローム・レッド,DX CHROME RED
CarDXColorName/53,DX クローム・ダークレッド,DX CHROME DARK RED
CarDXColorName/54,DX クローム・ピンク,DX CHROME PINK
CarDXColorName/55,DX クローム・グリーン,DX CHROME GREEN
CarDXColorName/56,DX クローム・ダークグリーン,DX CHROME DARK GREEN
CarDXColorName/57,DX クローム・ライトグリーン,DX CHROME LIGHT GREEN
CarDXColorName/58,DX クローム・ブルー,DX CHROME BLUE
CarDXColorName/59,DX クローム・ダークブルー,DX CHROME DARK BLUE
CarDXColorName/60,DX クローム・ライトブルー,DX CHROME LIGHT BLUE
CarDXColorName/61,DX クローム・ゴールド,DX CHROME GOLD
CarDXColorName/62,DX クローム・オレンジ,DX CHROME ORANGE
CarDXColorName/63,DX クローム・パープル,DX CHROME PURPLE
CarDXColorName/64,DX クローム・ブラック,DX CHROME BLACK
CarDXColorName/65,DX クローム・ライトグレー,DX CHROME LIGHT GRAY
CarDXColorName/66,DX クローム・メッキ,DX CHROME PLATING
CarDXColorName/67,DX クローム・イエロー,DX CHROME YELLOW
CarDXColorName/68,DX クローム・パールピンク,DX CHROME PEARL PINK
CarDXColorName/69,DX クローム・レッドオレンジ,DX CHROME RED ORANGE
CarDXColorName/70,DX クローム・マゼンタ,DX CHROME MAGENTA
CarDXColorName/71,DX クローム・アイスブルー,DX CHROME ICE BLUE
CarDXColorName/72,DX クローム・ダークグレー,DX CHROME DARK GRAY
CarDXColorName/73,DX クローム・ブラウン,DX CHROME BROWN
CarDXColorName/74,SP ハロウィン,SP Halloween
CarDXColorName/75,SP ダメージペイント,SP Damage Paint
CarDXColorName/76,SP サクラ,SP Cherry Blossom
CarDXColorName/77,SP メイサイ,SP Camouflage
