key,source,target
MeterName/0,デフォルト,默认
MeterName/1,インフィニティ,无限
MeterName/2,フォーミュラ,方程式
MeterName/3,フューチャー,未来
MeterName/4,ダブルエースクロス,双王牌X
MeterName/5,エクストリーム,极限(头文字D5)
MeterName/6,ベーシック,基础(头文字D Ver.3)
MeterName/7,クラシック,经典
MeterName/8,サイバー,赛博
MeterName/9,シングル,单一
MeterName/10,ワイド,宽版
MeterName/11,プリウス,普锐斯
MeterName/12,インフィニティ（レッド）,无限（红）
MeterName/13,インフィニティ（ゴールド）,无限（金）
MeterName/14,フューチャー（アクア）,未来（淡蓝）
MeterName/15,フューチャー（パープル）,未来（紫）
MeterName/16,ダミー,dummy
MeterName/17,ベーシック（オレンジ）,基础(橘)
MeterName/18,ベーシック（ピンク）,基础(粉)
MeterName/19,ダブルエースクロス（ロイヤルホワイト）,双王牌X(皇家白)
MeterName/20,ダブルエースクロス（オーシャンブルー）,双王牌X(碧海蓝)
MeterName/21,ダブルエースクロス（パープル）,双王牌X(紫)
MeterName/22,フォーミュラ（ピンク）,方程式(粉)
MeterName/23,フォーミュラ（グリーン）,方程式(绿)
MeterName/24,フォーミュラ（ブルー）,方程式(蓝)
MeterName/25,シングル（パープル）,单一(紫)
MeterName/26,シングル（ゴールド）,单一(金)
MeterName/27,シングル（ウォーター）,单一(水色)
MeterName/28,シングル（ローズゴールド）,单一(玫瑰金)
MeterName/29,サイバー（レッド）,赛博(红)
MeterName/30,DAC（グリーン）,DAC(绿)
MeterName/31,シュツットガルト,斯图加特
MeterName/32,レーシング,赛车
MeterName/33,ダミー,dummy
MeterName/34,フューチャー（Zero）,未来(Zero)
MeterName/35,インフィニティ（THE ARCADE）,无限(激斗)
MeterName/36,サイバー（Zero2）,赛博(Zero2)
MeterName/37,インフィニティ（DZero）,无限(DZero)
MeterName/38,メタリック,金属
MeterName/39,シリウス,天狼星
MeterName/40,DAC（オレンジ）,DAC(橘色)
MeterName/41,DAC（ブルー）,DAC(蓝)
MeterName/42,DAC（ホワイト）,DAC(白)
MeterName/43,シュツットガルト（ゴールド）,斯图加特(金)
MeterName/44,シュツットガルト（レッド）,斯图加特(红)
MeterName/45,シュツットガルト（ホワイト）,斯图加特(白)
MeterName/46,レーシング（ピンク）,赛车(粉)
MeterName/47,レーシング（オレンジ）,赛车(橘)
MeterName/48,レーシング（グリーン）,赛车(绿)
MeterName/49,スペシャル（博麗霊夢）,特别（博丽灵梦）
MeterName/50,スペシャル（霧雨魔理沙）,特别（雾雨魔理沙）
MeterName/51,スペシャル（射命丸文）,特别（射命丸文）
MeterName/52,DAC（シルバー）,DAC(银)
MeterName/53,DAC（ゴールド）,DAC(金)
MeterName/54,スペシャル（ライフガード）,dummy
MeterName/55,スペシャル（MFゴースト）,dummy
MeterName/56,ベーシック（20th anniv）,基础(漫画)
MeterName/57,インフィニティ（20th anniv）,无限(漫画)
MeterName/58,ダブルエース,双王牌
MeterName/59,ダミー,dummy
MeterName/60,スペシャル（十六夜咲夜）,dummy
MeterName/61,スペシャル（レミリア・スカーレット）,dummy
MeterName/62,スペシャル（フランドール・スカーレット）,dummy
MeterName/63,ワイド（ホワイト）,宽版（白）
MeterName/64,ワイド（ブルー）,宽版（蓝）
MeterName/65,ワイド（ライトピンク）,宽版（浅粉）
MeterName/66,スチームパンク,蒸汽朋克
MeterName/67,フェニックス,不死鸟
MeterName/68,スペシャル（初音ミク）,dummy
MeterName/69,スペシャル（鏡音リン・レン）,dummy
MeterName/70,スペシャル（巡音ルカ）,dummy
MeterName/71,シルエット（初音ミク）,dummy
MeterName/72,シルエット（鏡音リン・レン）,dummy
MeterName/73,シルエット（巡音ルカ）,dummy
MeterName/74,スペシャル（チュウニペンギン）,dummy
MeterName/75,スペシャル（ショウニペンギン）,dummy
MeterName/76,レトロウェイヴ,复古浪潮
MeterName/77,スペシャル(魔王),dummy
MeterName/78,スペシャル(Hot-Version),dummy
MeterName/79,シルエット（博麗霊夢）,外观（博丽灵梦）
MeterName/80,シルエット（霧雨魔理沙）,外观（雾雨魔理沙）
MeterName/81,シルエット（射命丸文）,外观（射命丸文）
MeterName/82,フューチャー（2023大会参加記念）,dummy
MeterName/83,ハロウィン,万圣节
MeterName/84,スペシャル（魂魄妖夢）,dummy
MeterName/85,スペシャル（西行寺幽々子）,dummy
MeterName/86,スペシャル（八雲紫）,dummy
MeterName/87,シルエット（魂魄妖夢）,dummy
MeterName/88,シルエット（西行寺幽々子）,dummy
MeterName/89,シルエット（八雲紫）,dummy
MeterName/90,いやよくみたらク○むかつく,dummy
MeterName/91,ステイッステイッ,dummy
MeterName/92,ストリート,街道车王
