key,source,target
PaperCupName/0,装着なし,不放置纸杯
PaperCupName/1,紙コップ（通常）,纸杯（普通）
PaperCupName/2,紙コップ（赤）,dummy
PaperCupName/3,紙コップ（青）,dummy
PaperCupName/4,紙コップ（黄）,dummy
PaperCupName/5,紙コップ（緑）,dummy
PaperCupName/6,紙コップ水玉（赤）,dummy
PaperCupName/7,紙コップ水玉（青）,dummy
PaperCupName/8,紙コップ水玉（黄）,dummy
PaperCupName/9,紙コップ水玉（緑）,dummy
PaperCupName/10,紙コップストライプ（赤）,dummy
PaperCupName/11,紙コップストライプ（青）,dummy
PaperCupName/12,紙コップストライプ（黄）,dummy
PaperCupName/13,紙コップストライプ（緑）,dummy
PaperCupName/14,紙コップ（コーヒー）,纸杯（咖啡）
PaperCupName/15,オレンジジュース,dummy
PaperCupName/16,湯飲み（〇〇）,dummy
PaperCupName/17,湯飲み（金）,dummy
PaperCupName/18,湯飲み（銀）,dummy
PaperCupName/19,タンブラーグラス,dummy
PaperCupName/20,マグカップ,dummy
PaperCupName/21,タンブラー（ステンレス）,dummy
PaperCupName/22,コップ（竹）,dummy
PaperCupName/23,コップ（プラスチック）,dummy
PaperCupName/24,コップ（タル）,dummy
PaperCupName/50,紙コップ（ライフガード）,dummy
PaperCupName/51,ペットボトル（ライフガード）,dummy
PaperCupName/52,ペットボトル（ライフガード2002）,dummy
PaperCupName/53,アクリルスタンド（博麗霊夢）,亚克力立牌（博丽灵梦）
PaperCupName/54,アクリルスタンド（霧雨魔理沙）,亚克力立牌（雾雨魔理沙）
PaperCupName/55,アクリルスタンド（射命丸文）,亚克力立牌（射命丸文）
PaperCupName/56,タンブラー（MFゴースト）,dummy
PaperCupName/57,タンブラー（MFGエンジェルス）,dummy
PaperCupName/58,アクリルスタンド（十六夜咲夜）,dummy
PaperCupName/59,アクリルスタンド（レミリア・スカーレット）,dummy
PaperCupName/60,アクリルスタンド（フランドール・スカーレット）,dummy
PaperCupName/61,アクリルスタンド（初音ミク）,
PaperCupName/62,アクリルスタンド（鏡音リン・レン）,
PaperCupName/63,アクリルスタンド（巡音ルカ）,
PaperCupName/48,アクリルスタンド（CHUNITHM NEW）,
PaperCupName/49,アクリルスタンド（チュウニペンギン）,
PaperCupName/47,タンブラー（Hot-Version）,
PaperCupName/44,アクリルスタンド（魂魄妖夢）,
PaperCupName/45,アクリルスタンド（西行寺幽々子）,
PaperCupName/46,アクリルスタンド（八雲紫）,
PaperCupName/43,アニメーション（生まれた時から足クロス）,
PaperCupName/42,アニメーション（なっとるやろがい）,
