key,source,target
StartMenuBGName/0,道の駅,道之驿
StartMenuBGName/1,道の駅（秋/夜）,道之驿(秋/夜)
StartMenuBGName/5,辰巳PA（夜）,辰巳停车区(夜)
StartMenuBGName/4,辰巳PA（昼）,辰巳停车区(昼)
StartMenuBGName/3,藤原豆腐店前,
StartMenuBGName/2,藤原豆腐店前（夏/夜）,
StartMenuBGName/6,コンビニの前,便利店前
StartMenuBGName/7,大観山パーキング（MFゴーストVer）,dammy
StartMenuBGName/8,ガレージ（頭文字D8）,dammy
StartMenuBGName/9,ガレージ（頭文字D7）,dammy
StartMenuBGName/10,ガレージ（頭文字D5）,dammy
StartMenuBGName/11,ガレージ（頭文字D3）,dammy
StartMenuBGName/12,ステージ（初音ミク）,dammy
StartMenuBGName/13,ステージ（鏡音リン・レン）,dammy
StartMenuBGName/14,ステージ（巡音ルカ）,dammy
StartMenuBGName/15,群サイ,dammy
StartMenuBGName/16,群サイ（Hot-Version）,dammy
