key,source,target
ST_TalkCourseSelect/TAKUMI_AKINA_LAKE,"ゆるいカーブばっかだよ
配達帰りにかっ飛ばすと気持ちいいんだよな","全都是些平缓的弯道哦。
送货回来的时候一口气冲过去非常爽快呢。"
ST_TalkCourseSelect/TAKUMI_MYOGI,いろんな形のカーブがあるんだ,各种样子的弯道都有呢。
ST_TalkCourseSelect/TAKUMI_AKAGI,急勾配とヘアピンカーブが特徴的だな,陡坡和发卡弯可以说是它的特征吧。
ST_TalkCourseSelect/TAKUMI_AKINA,"ヘアピンカーブと直線ばっかだよ
オレはこの峠を毎日走っているんだ","全都是些发卡弯和直道。
这条山道我每天都在跑。"
ST_TalkCourseSelect/TAKUMI_IROHA,ヘアピンカーブばっかだよ,全都是些发卡弯哦。
ST_TalkCourseSelect/TAKUMI_TSUKUBA,先の見えないカーブが続くコースだな,这条赛道，连续不断的弯道看不到尽头啊。
ST_TalkCourseSelect/TAKUMI_HAPPO,ぐねぐねしてて走りにくそうだな,弯来弯去的，感觉很难跑啊。
ST_TalkCourseSelect/TAKUMI_NAGAO,"なんていうんだろうな・・
途中からすごいツボに入るんだよな","这条赛道怎么说呢……
从中段开始会感觉开得非常舒服。"
ST_TalkCourseSelect/TAKUMI_TSUBAKI,先の見えないカーブが続くコースだな,
ST_TalkCourseSelect/TAKUMI_USUI,ヘアピンカーブと直線が多い峠だな,这条山道发卡弯和直道很多啊。
ST_TalkCourseSelect/TAKUMI_SADAMINE,道幅が変わりやすい峠だな,这条山道的路面宽度很多变啊。
ST_TalkCourseSelect/TAKUMI_TSUCHISAKA,途中のトンネルを抜けると別の峠みたいだな,穿过半路的隧道后，感觉变成了另一条山道。
ST_TalkCourseSelect/TAKUMI_AKINA_SNOW,"雪の日は滑りやすいから早めにブレーキ踏まないとな
まあ毎日秋名を走っていれば、どうってことないけど‥","下雪天很滑，一定要提前踩下刹车才行。
不过每天都在跑秋名的话，也不是什么大问题……"
ST_TalkCourseSelect/TAKUMI_HAKONE,ゆるいカーブばっかりのコースだな,全都是些平缓的弯道哦。
ST_TalkCourseSelect/TAKUMI_MOMIJI,ヘアピンカーブと直線が多い峠だな,这条山道发卡弯和直道很多啊。
ST_TalkCourseSelect/TAKUMI_NANAMAGARI,連続したヘアピンが特徴的だな,
ST_TalkCourseSelect/TAKUMI_GUNSAI,"へえ・・こんなところがあったのか
いろんな形のカーブがあるんだな",
ST_TalkCourseSelect/TAKUMI_ODAWARA,道幅もカーブも他の峠とは全然違うな,路宽和弯道的样子与其他的山道完全不一样啊。
ST_TalkCourseSelect/IKETANI_AKINA_LAKE,"ゆるやかなコーナーの続く高速コースだ
うちのチームの若手は毎日ここを攻めているぜ！","这是条拥有连续平缓弯道的高速赛道。
我们车队的小年轻每天都在这里练习呢！"
ST_TalkCourseSelect/IKETANI_MYOGI,いろんな形の中高速コーナーが続くテクニカルコースだ,这是条各种中高速弯连续不断的技巧型赛道。
ST_TalkCourseSelect/IKETANI_AKAGI,急勾配とヘアピンの続くテクニカルコースだ,这是条陡坡和发卡弯连续不断的技巧型赛道。
ST_TalkCourseSelect/IKETANI_AKINA,"ヘアピンと直線で構成された高速コースだ
秋名スピードスターズのホームコースさ！","这是条由发卡弯和直道构成的高速赛道。
这里可是秋名速度之星的主场！"
ST_TalkCourseSelect/IKETANI_IROHA,きついヘアピンが続くテクニカルコースだ,这是条急发卡弯连续不断的技巧型赛道。
ST_TalkCourseSelect/IKETANI_TSUKUBA,先の見えないS字コーナーが続く高速コースだ,这是条高速赛道，看不到尽头的S弯连续不断。
ST_TalkCourseSelect/IKETANI_HAPPO,小さなＳ字コーナーが続くテクニカルコースだ,这是条小型S弯连续不断的技巧型赛道。
ST_TalkCourseSelect/IKETANI_NAGAO,前半と後半で速度域が変化するテクニカルコースだ,这是条前后路段的速度区间截然不同的技巧型赛道。
ST_TalkCourseSelect/IKETANI_TSUBAKI,先の見えないS字コーナーが続く高速コースだ,
ST_TalkCourseSelect/IKETANI_USUI,独特なコーナーが続くテクニカルコースだ,这是条各种独特弯道连续不断的技巧型赛道。
ST_TalkCourseSelect/IKETANI_SADAMINE,場所によって道幅が大きく変化するテクニカルコースだ,这是条技巧型赛道，有些路段的路宽多变。
