key,source,target
ST_TalkPartnerSelect/TAKUMI_1,"走りを教えてほしいって？
そういうの‥あんまり得意じゃねーんだよな‥","想让我教你开车？
这种事……我不是很擅长啊……"
ST_TalkPartnerSelect/TAKUMI_2,"この間の走り屋じゃないか
またついていけばいいのか？","你不是那天的那个车手吗。
还是跟着跑就行了吧？"
ST_TalkPartnerSelect/TAKUMI_3,"今回も来る気がしてたんだ
あんたの走りは‥けっこうおもしろいから楽しみだよ","这次我也感觉你会来。
你这种跑法……相当有趣，我可是很期待啊。"
ST_TalkPartnerSelect/TAKUMI_4,"ええと相棒みたいな感じがするって言ったら変かな‥
今回はどんな戦いを見せてくれるんだ？","我说我们像搭档，是不是有点怪啊……
这次打算让我见识一下什么样的战术呢？"
ST_TalkPartnerSelect/IKETANI_1,"やあ！キミ走り屋だよな！
オレと一緒にドラテクを学んでいこうぜ！","嗨！你是车手吧！
跟我一起学习驾驶技术吧！"
ST_TalkPartnerSelect/IKETANI_2,"この間の走り屋じゃないか！
また誘ってくれるなんて嬉しいぜ！","你不是那天的那个车手吗！
很高兴又来约我！"
ST_TalkPartnerSelect/IKETANI_3,"今回も来てくれると思っていたよ！
キミの走りには惚れ惚れするから楽しみだぜ！","我就知道你这次还会来的！
我已经完全被你的跑法吸引了，太期待了！"
ST_TalkPartnerSelect/IKETANI_4,"もうすっかり相棒だな！
今回はどんな戦いを見せてくれるのか待ち遠しいぜ！","我们已经完全是搭档了吧！
我已经等不及了，这次想让我见识什么样的战术呢！"
ST_TalkPartnerSelect/KEISUKE_1,"おう‥おまえ走り屋だよな
オレと一緒にドラテクを学びたいってか","哦……你是车手吧。
想和我一起学习驾驶技术啊。"
ST_TalkPartnerSelect/KEISUKE_2,"この間の走り屋じゃないか
フッ‥また誘ってくれるなんてな","你不是那天的那个车手吗。
哼……居然又来约我。"
ST_TalkPartnerSelect/KEISUKE_3,"今回も来ると思っていたぜ
おまえの走りは何かを感じるんだ‥興味深いぜ","我就知道你这次会来。
我能在你的跑法中感觉到某种东西……真有意思。"
ST_TalkPartnerSelect/KEISUKE_4,"なんか妙に相棒みたいな気もしてきてるぐらいだせ
今回はどんな戦いを見せてくれるのか‥期待してるぜ","总觉得和你有一种类似搭档的感觉啊。
这次要让我见识怎样的战术呢……令人期待啊。"
ST_TalkPartnerSelect/SAYUKI_1,"やあ‥あんた走り屋よね？
あたしと一緒にドラテクを学びたいのかしら","嗨……你是车手吧？
想和我一起学习驾驶技术吗？"
ST_TalkPartnerSelect/SAYUKI_2,"この間の走り屋じゃない
また誘ってくれるなんて嬉しいわねぇ","这不是那天的那个车手吗。
又来约我，挺开心的。"
ST_TalkPartnerSelect/SAYUKI_3,"今回も来てくれると思っていたわ
あんたの走りには惚れ惚れしちゃうからすごく楽しみよ！","我就知道你这次也会来的。
你的跑法已经深深吸引了我，我非常期待哦！"
ST_TalkPartnerSelect/SAYUKI_4,"真子に続いてすっかり新しい相棒になったわね
今回はどんな戦いを見せてくれるのか待ち遠しいわ","继真子之后，我又有了一个全新的搭档啊。
我已经等不及了，这次打算向我展示怎样的战术呢？"
ST_TalkPartnerSelect/WATARU_1,"おう‥おまえ走り屋だよな
オレと一緒にドラテクを学びたいってか","哦……你是车手吧。
想和我一起学习驾驶技术啊。"
ST_TalkPartnerSelect/WATARU_2,"この間の走り屋じゃないか
フッ‥また誘ってくれるなんてな","你不是那天的那个车手吗。
哼……居然又来约我。"
