key,source,target
ST_Talk/TAKUMI_2CAR,「２台バトル」は２人だけで走るんだってさ,“2车对战”就是两个人一起开。
ST_Talk/TAKUMI_4CAR,「４台バトル」はたくさんのクルマと走るんだってさ,“4车对战”就是好几辆车一起开。
ST_Talk/IKETANI_2CAR,「２台バトル」なら１対１の真剣勝負ができるんだ,“2车对战”可以进行一对一的对决。
ST_Talk/IKETANI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるんだ,“4车对战”可以和多个对手同时进行比赛。
ST_Talk/KEISUKE_2CAR,「２台バトル」なら１対１の真剣勝負ができるんだ,“2车对战”可以进行一对一的对决。
ST_Talk/KEISUKE_4CAR,「４台バトル」なら複数のライバルと同時にレースができるんだ,“4车对战”可以和多个对手同时进行比赛。
ST_Talk/SAYUKI_2CAR,「２台バトル」なら１対１の真剣勝負ができるわ,“2车对战”可以进行一对一的对决哦。
ST_Talk/SAYUKI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるわ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/WATARU_2CAR,「２台バトル」なら１対１の真剣勝負ができるんだ,“2车对战”可以进行一对一的对决。
ST_Talk/WATARU_4CAR,「４台バトル」なら複数のライバルと同時にレースができるんだ,“4车对战”可以和多个对手同时进行比赛。
ST_Talk/KENJI_2CAR,「２台バトル」なら１対１の真剣勝負ができるんだ,“2车对战”可以进行一对一的对决。
ST_Talk/KENJI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるんだ,“4车对战”可以和多个对手同时进行比赛。
ST_Talk/NAKAZATO_2CAR,「２台バトル」なら１対１の真剣勝負ができるぜ,“2车对战”可以进行一对一的对决哦。
ST_Talk/NAKAZATO_4CAR,「４台バトル」なら複数のライバルと同時にレースができるぜ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/SHINGO_2CAR,「２台バトル」なら１対１の真剣勝負ができるぜ,“2车对战”可以进行一对一的对决哦。
ST_Talk/SHINGO_4CAR,「４台バトル」なら複数のライバルと同時にレースができるぜ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/KYOICHI_2CAR,「２台バトル」なら１対１の真剣勝負ができるぞ,“2车对战”可以进行一对一的对决哦。
ST_Talk/KYOICHI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるぞ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/SEIJI_2CAR,「２台バトル」なら１対１の真剣勝負ができるぜ,“2车对战”可以进行一对一的对决哦。
ST_Talk/SEIJI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるぜ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/RYOSUKE_2CAR,「２台バトル」なら１対１の真剣勝負ができるぜ,“2车对战”可以进行一对一的对决哦。
ST_Talk/RYOSUKE_4CAR,「４台バトル」なら複数のライバルと同時にレースができるぜ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/MAKO_2CAR,「２台バトル」なら１対１の真剣勝負ができるみたい,“2车对战”可以进行一对一的对决呢。
ST_Talk/MAKO_4CAR,「４台バトル」なら複数のライバルと同時にレースができるみたい,“4车对战”可以和多个对手同时进行比赛呢。
ST_Talk/KAI_2CAR,「２台バトル」なら１対１の真剣勝負ができるぜ,“2车对战”可以进行一对一的对决哦。
ST_Talk/KAI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるぜ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/DAIKI_2CAR,「２台バトル」なら１対１の真剣勝負ができるぜ,“2车对战”可以进行一对一的对决哦。
ST_Talk/DAIKI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるぜ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/SAKAI_2CAR,「２台バトル」なら１対１の真剣勝負ができるぜ,“2车对战”可以进行一对一的对决哦。
ST_Talk/SAKAI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるぜ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/BUNTA_2CAR,普通だな,是正常的对决啊。
ST_Talk/BUNTA_4CAR,ごちゃごちゃした戦いだな,是乱哄哄的混战啊。
ST_Talk/NATSUKI_2CAR,「２台バトル」は2人だけで走るんだって！,“2车对战”就是只有两个人比赛！
ST_Talk/NATSUKI_4CAR,「４台バトル」はクルマがたくさんあるみたい！,“4车对战”就是会有好多车呢！
ST_Talk/NOBU_2CAR,「２台バトル」なら１対１の真剣勝負ができるぜ,“2车对战”可以进行一对一的对决哦。
ST_Talk/NOBU_4CAR,「４台バトル」なら複数のライバルと同時にレースができるぜ,“4车对战”可以和多个对手同时进行比赛哦。
ST_Talk/KYOKO_2CAR,「２台バトル」なら１対１の真剣勝負ができるみたい,“2车对战”可以进行一对一的对决呢。
ST_Talk/KYOKO_4CAR,「４台バトル」なら複数のライバルと同時にレースができるみたい,“4车对战”可以和多个对手同时进行比赛呢。
