key,source,target
WD_TuningParts_Explanation/012,軽量化（ＬＶ１）,
WD_TuningParts_Explanation/011,ボディ剛性を強化します！,强化车身刚性！
WD_TuningParts_Explanation/010,仮　リアラダーバー,
WD_TuningParts_Explanation/009,仮　フロントラダーバー,
WD_TuningParts_Explanation/008,ボディ剛性を強化します！,强化车身刚性！
WD_TuningParts_Explanation/007,"エンジンの排気量を上げ
パワーUP！","提升引擎的排气量，
增强动力！"
WD_TuningParts_Explanation/001,"コーナー内側タイヤの空転を抑え
駆動力を上げます！","抑制弯道内侧轮胎的空转，
提升驱动力！"
WD_TuningParts_Explanation/002,仮　軽量フライホイール,
WD_TuningParts_Explanation/003,"エンジンの伝達効率が上がり
パワーロスを軽減します！","提升引擎动力的传递效率，
减少动力损失！"
WD_TuningParts_Explanation/004,"エンジンの吸排気効率が上がり
パワーUP！","提升引擎的吸排气效率，
增强动力！"
WD_TuningParts_Explanation/005,"エンジンの吸排気効率が上がり
パワーUPします！","提升引擎的吸排气效率，
增强动力！"
WD_TuningParts_Explanation/006,"エンジンの吸排気効率が上がり
パワーUPします！","提升引擎的吸排气效率，
增强动力！"
WD_TuningParts_Explanation/013,軽量化（ＬＶ２）,
WD_TuningParts_Explanation/014,スポット増し,
WD_TuningParts_Explanation/015,ブレーキ性能が上がります！,提升刹车性能！
WD_TuningParts_Explanation/016,メッシュホース,
WD_TuningParts_Explanation/017,"サスペンションの追従性が上がり
コーナリング性能がUPします！","强化悬挂系统的追随性，
提升过弯性能！"
WD_TuningParts_Explanation/018,強化スタビライザー,
WD_TuningParts_Explanation/019,"サスペンションの動きが矯正され、
コーナリング性能がUPします！","矫正悬挂系统动作，
提升过弯性能！"
WD_TuningParts_Explanation/020,ブレーキ性能が上がります！,提升刹车性能！
WD_TuningParts_Explanation/021,大口径ブレーキローター,
WD_TuningParts_Explanation/022,吸気効率が上がり、パワーUP！,"提升吸气效率，
增强动力！"
WD_TuningParts_Explanation/023,強化ダクト,
WD_TuningParts_Explanation/024,スポーツ触媒,
WD_TuningParts_Explanation/025,"冷却効率上昇。エンジンの熱ダレ
パワーロスが軽減します！","提升冷却效率，
减轻引擎热衰以及动力损失！"
WD_TuningParts_Explanation/026,排気効率が上がり、パワーUP！,"提升排气效率，
增强动力！"
WD_TuningParts_Explanation/027,"吸気効率が上がり、ダイレクトな
レスポンスになります！","提升吸气效率，
响应更为直接！"
WD_TuningParts_Explanation/028,アーシング,
WD_TuningParts_Explanation/029,レーシングプラグ,
WD_TuningParts_Explanation/030,ドライバッテリー,
WD_TuningParts_Explanation/031,ＲＯＭ書き換え,
WD_TuningParts_Explanation/032,イグニッションコイル,
WD_TuningParts_Explanation/033,サブコンピューター,
WD_TuningParts_Explanation/034,"緻密でより完全な制御設定の
ECUに置き換え、パワーUP！","换上精密且控制设定更完善的ECU，
增强动力！"
WD_TuningParts_Explanation/035,"純正をハイフロー化したタービンを装着し、
バランス良くパワーUP！","安装原厂高通量涡轮，
均衡增强动力！"
WD_TuningParts_Explanation/036,"タービンの口径を大きくし、
大幅にパワーUP！","增大涡轮口径，
增强动力！"
WD_TuningParts_Explanation/037,"タービンの口径を大きくし、
大幅にパワーUP！","增大涡轮口径，
增强动力！"
WD_TuningParts_Explanation/038,大口径スロットル,
WD_TuningParts_Explanation/039,吸気効率が上がり、パワーUP！,"提升吸气效率，
增强动力！"
WD_TuningParts_Explanation/040,過給圧を上げ、パワーUP！,"提高增压效果，
增强动力！"
WD_TuningParts_Explanation/041,ターボを装着し、パワーUP！,"安装涡轮，
增强动力！"
WD_TuningParts_Explanation/042,吸排気量を上げ、パワーUP！,"提升吸排气量，
增强动力！"
WD_TuningParts_Explanation/043,強化アペックスシール,
WD_TuningParts_Explanation/044,"トー変化が抑えられ、
コーナリング性能が上がります！","抑制车辆倾斜，
提升过弯性能！"
WD_TuningParts_Explanation/045,"冷却効率上昇。
熱によるパワーロスが減ります！","提升冷却效率，
减少因过热而引起的动力损失！"
WD_TuningParts_Explanation/046,吸気効率が上がり、パワーUP！,"提升吸气效率，
增强动力！"
WD_TuningParts_Explanation/047,"冷却効率上昇。
熱によるパワーロスが減ります！","提升冷却效率，
减少因过热而引起的动力损失！"
WD_TuningParts_Explanation/048,"超高回転型のレース用エンジンに
載せ換えて、パワーUP！","换上超高转速竞赛用引擎，
增强动力！"
WD_TuningParts_Explanation/049,"スーパーチャージャーを装着し、
パワーUP！","安装机械增压器，
增强动力！"
WD_TuningParts_Explanation/050,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！","调整每个零件的重量平衡，
使引擎运转更顺畅，增强动力！"
WD_TuningParts_Explanation/051,ターボラグが無くなり、加速が鋭くなります！,"消除涡轮迟滞，
提升加速能力！"
WD_TuningParts_Explanation/052,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！","调整每个零件的重量平衡，
使引擎运转更顺畅，增强动力！"
WD_TuningParts_Explanation/053,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/054,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/055,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/056,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/057,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/058,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/059,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/060,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/061,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/062,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/063,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/064,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/065,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/066,Lv.15 スペシャルチューン,
WD_TuningParts_Explanation/067,"レースのノウハウを投入し、
エンジンを組み直すことでパワーUP！","引入专业竞赛团队的经验，
将引擎重新组装增强动力！"
WD_TuningParts_Explanation/068,"さらにボア＋ストロークアップにより排気量を拡大し、
トルク重視でパワーUP！","进一步通过增加气缸内径及活塞行程来增加排气量，
重视扭力输出，增强动力！"
WD_TuningParts_Explanation/069,"ピックアップ重視の小径タービンを装着し、
レスポンスUP！","安装重视扭力的小型涡轮，
增强动力响应！"
WD_TuningParts_Explanation/070,"アブレイダブルシールを採用したタービンを
装着することで効率を上げ、パワーUP！","安装采用可磨耗封严涂层的涡轮，
提高效率，增强动力！"
WD_TuningParts_Explanation/071,"タービンを交換した後にピークパワーをあえて下げ、
過渡特性とバランスを向上！","通过更换涡轮有意识地下调动力峰值，
使动力平顺性及均衡性得到提高！"
WD_TuningParts_Explanation/072,"サスペンションの動きが大幅に矯正され、
コーナリング性能がUPします！","大幅矫正悬挂系统动作，
提升过弯性能！"
WD_TuningParts_Explanation/073,ターボラグが無くなり、加速が鋭くなります！,"消除涡轮迟滞，
提升加速能力！"
WD_TuningParts_Explanation/074,"純正のシーケンシャルツインターボを
ハイフロー化して再組立てし、パワーUP！","将原厂序列式双涡轮进行高通量化后重新组装，
增强动力！"
WD_TuningParts_Explanation/075,"３ローターの大排気量NAエンジンへ載せ替え、
パワーUP！","替换安装三转子大排量自吸引擎，
增强动力！"
WD_TuningParts_Explanation/076,V12エンジン載せ替え,
WD_TuningParts_Explanation/077,ロータリーターボ/FEED魔王チューン,
WD_TuningParts_Explanation/078,魔王号ターボチューン,
WD_TuningParts_Explanation/079,魔王号NAメカチューン,
WD_TuningParts_Explanation/080,"エンジンを載せ替え、機械式キャブレターターボを
二基装着し大幅にパワーUP！","替换引擎，安装两台机械化油器式涡轮，
大幅增强动力！"
WD_TuningParts_Explanation/081,"冷却効率上昇。
熱によるパワーロスが減ります！","提升冷却效率，
减少因过热而引起的动力损失！"
WD_TuningParts_Explanation/082,"タービンの口径を大きくし、
エンジン各部をリファインすることで大幅にパワーUP！","增大涡轮口径，并对引擎各部分改造翻新，
大幅增强动力！"
WD_TuningParts_Explanation/083,"タービンの口径を大きくし、
エンジンをフルOHして大幅にパワーUP！","增大涡轮口径，并将引擎彻底翻新，
大幅增强动力！"
WD_TuningParts_Explanation/084,ダウンヒルSPECIAL,
WD_TuningParts_Explanation/085,オールラウンダーSPECIAL,
WD_TuningParts_Explanation/086,ヒルクライムSPECIAL,
WD_TuningParts_Explanation/087,STEPを Lv.1に上げて性能UP！,
WD_TuningParts_Explanation/088,STEPを Lv.2に上げて性能UP！,
WD_TuningParts_Explanation/089,STEPを Lv.3に上げて性能UP！,
WD_TuningParts_Explanation/090,STEPを Lv.4に上げて性能UP！,
WD_TuningParts_Explanation/091,STEPを Lv.5に上げて性能UP！,
WD_TuningParts_Explanation/092,STEPを Lv.6に上げて性能UP！,
WD_TuningParts_Explanation/093,STEPを Lv.7に上げて性能UP！,
WD_TuningParts_Explanation/094,STEPを Lv.8に上げて性能UP！,
WD_TuningParts_Explanation/095,STEPを Lv.9に上げて性能UP！,
WD_TuningParts_Explanation/096,STEPを Lv.10に上げて性能UP！,
