key,source,target
WD_TuningStyle_Name/013,ロータリーブーストダウンチューン,低进气量转子改装
WD_TuningStyle_Name/012,ロータリーシングルターボチューン,转子单涡轮改装
WD_TuningStyle_Name/011,ロータリーNAチューン,转子自吸改装
WD_TuningStyle_Name/010,ラリー系ターボチューン,拉力赛级别涡轮改装
WD_TuningStyle_Name/009,ラリー系ミスファイアリングシステム,拉力赛级别偏时点火系统
WD_TuningStyle_Name/008,アブレイダブルターボチューン,高耐磨涡轮改装
WD_TuningStyle_Name/001,レース用エンジン載せ替え,更换赛车用引擎
WD_TuningStyle_Name/002,ボルトオンターボ,外挂涡轮
WD_TuningStyle_Name/003,ボルトオンスーパーチャージャー,外挂机械增压
WD_TuningStyle_Name/004,NAメカチューン,自吸机械改装
WD_TuningStyle_Name/005,大口径ターボチューン,大口径涡轮改装
WD_TuningStyle_Name/006,ハイフローターボチューン,高通量涡轮改装
WD_TuningStyle_Name/007,小径ターボチューン,小口径涡轮改装
WD_TuningStyle_Name/014,ロータリーツインターボチューン,转子双涡轮改装
WD_TuningStyle_Name/015,V12エンジン載せ替え,未実装
WD_TuningStyle_Name/016,ロータリーターボ/FEED魔王チューン,未実装
WD_TuningStyle_Name/017,ターボ/MCR魔王チューン,未実装
WD_TuningStyle_Name/018,NA/J'S魔王チューン,未実装
WD_TuningStyle_Name/019,ボルトオンツインターボ,外挂双涡轮增压
WD_TuningStyle_Name/020,空冷シングルターボチューン,单涡轮空冷器套件
WD_TuningStyle_Name/021,大口径ターボ＋RWBチューン,大口径涡轮＋RWB改装
WD_TuningStyle_Name/022,大口径ターボ＋エンジンリビルド,大口径涡轮＋引擎翻新
WD_TuningStyle_Name/023,コンプリートカー系車種（下り）,满级改装车辆（下坡）
WD_TuningStyle_Name/024,コンプリートカー系車種（オールラウンダー）,满级改装车辆（全能）
WD_TuningStyle_Name/025,コンプリートカー系車種（上り）,满级改装车辆（上坡）
WD_TuningStyle_Name/026,NA3ローターエンジン,自吸三转子引擎
WD_TuningStyle_Name/027,東堂商会レーシングチューン,东堂商会竞赛改装
WD_TuningStyle_Name/028,大排気量NAチューン,大排量自吸改装
WD_TuningStyle_Name/029,ロータリーボルトオンターボ,外挂转子涡轮
WD_TuningStyle_Name/030,ロータリーボルトオンスーパーチャージャー,外挂转子机械增压
