key,source,target
/07D109F846A594A2DD33E29F5D77DD97,CURRENT VERSION,
/49FE5111442FBA1FBDA5B284AC6B88D1,NOW DOWNLOAD VERSION,
/FF2AD3A34666D958C94364B365BF0532,PRESS TEST BUTTON TO EXIT,
/06F405E44DFF3DA208A1A8B8D547079A,ORDER TIME,
/1283F9BC4DE0A1BD32AD2F996BF370F8,RELEASE TIME,
/F2A87A4A4C7E2B38937F1EA2EA624BA2,DOWNLOAD STATUS,
/2419B4B44659585CC6C1128F0C75F6DC,DOWNLOAD PERCENTAGE,
/8C2085E24D0A808B0BFF21B6978D4B4C,GAME DATA,
/6D48A7F04A706B1AB3E63BB4E0926FF4,ORDER TIME,
/3CC9076B40614226B93B548A7C4A2071,DOWNLOAD PERCENTAGE,
/837994F44A097C771E6E87BCD8B2D09E,RELEASE TIME,
/1A10D9ED439AF6F2F60AE4B49C85C5CD,DOWNLOAD STATUS,
/BE7AD6594A132006D96CB7A69A690453,OPTIONAL DATA,
/E327B6A9462A65447C0EA7BED95C93C5,ALL.Net DOWNLOAD STATUS,
/A4E47B854C036058E04523BE5A5B6D25,SERVER TIME,
/BE0139FE455DE1C1CB5DFFB9BB90D0DA,0.01.00,
/CED7BBA4433BAE18393D4AA8AC0ED494,COMPLETE,----
/39D00E594A4AA8C384011C9FDD5C2356,----/--/-- --:--:--,
/EED77FFE465B0B0431DEC483429FC799,0%,
/FC836A0D4AF7EDE351E5F5A17DC371F2,----/--/-- --:--:--,
/06D3AE21406BA1CA1DC2AC8D1C05E8EF,0.00.00,
/E7A9271644A9FA1F3F75C0AC2584EC74,DOWNLOAD,----
/AB5591ED48C71B669B92A39226CF2A3B,----/--/-- --:--:--,
/BDD429B14D3544C237D4A58E09F4BD28,0%,
/C6F8671E4CBA35965BCD32B7D4F68B32,----/--/-- --:--:--,
/F5A60E6E47204EF1996D8D910A0EAB42,----/--/-- --:--:--,
